"datetime","value"
"2019-05-11T00:00:00+00:00","501"
"2019-05-11T00:01:00+00:00","485"
"2019-05-11T00:02:00+00:00","576"
"2019-05-11T00:03:00+00:00","508"
"2019-05-11T00:04:00+00:00","523"
"2019-05-11T00:05:00+00:00","493"
"2019-05-11T00:06:00+00:00","539"
"2019-05-11T00:07:00+00:00","515"
"2019-05-11T00:08:00+00:00","540"
"2019-05-11T00:09:00+00:00","567"
"2019-05-11T00:10:00+00:00","603"
"2019-05-11T00:11:00+00:00","542"
"2019-05-11T00:12:00+00:00","552"
"2019-05-11T00:13:00+00:00","543"
"2019-05-11T00:14:00+00:00","649"
"2019-05-11T00:15:00+00:00","560"
"2019-05-11T00:16:00+00:00","580"
"2019-05-11T00:17:00+00:00","687"
"2019-05-11T00:18:00+00:00","548"
"2019-05-11T00:19:00+00:00","549"
"2019-05-11T00:20:00+00:00","665"
"2019-05-11T00:21:00+00:00","585"
"2019-05-11T00:22:00+00:00","549"
"2019-05-11T00:23:00+00:00","586"
"2019-05-11T00:24:00+00:00","573"
"2019-05-11T00:25:00+00:00","592"
"2019-05-11T00:26:00+00:00","570"
"2019-05-11T00:27:00+00:00","596"
"2019-05-11T00:28:00+00:00","612"
"2019-05-11T00:29:00+00:00","753"
"2019-05-11T00:30:00+00:00","663"
"2019-05-11T00:31:00+00:00","654"
"2019-05-11T00:32:00+00:00","602"
"2019-05-11T00:33:00+00:00","593"
"2019-05-11T00:34:00+00:00","547"
"2019-05-11T00:35:00+00:00","510"
"2019-05-11T00:36:00+00:00","580"
"2019-05-11T00:37:00+00:00","634"
"2019-05-11T00:38:00+00:00","657"
"2019-05-11T00:39:00+00:00","512"
"2019-05-11T00:40:00+00:00","586"
"2019-05-11T00:41:00+00:00","611"
"2019-05-11T00:42:00+00:00","597"
"2019-05-11T00:43:00+00:00","548"
"2019-05-11T00:44:00+00:00","553"
"2019-05-11T00:45:00+00:00","572"
"2019-05-11T00:46:00+00:00","542"
"2019-05-11T00:47:00+00:00","709"
"2019-05-11T00:48:00+00:00","612"
"2019-05-11T00:49:00+00:00","720"
"2019-05-11T00:50:00+00:00","757"
"2019-05-11T00:51:00+00:00","706"
"2019-05-11T00:52:00+00:00","615"
"2019-05-11T00:53:00+00:00","574"
"2019-05-11T00:54:00+00:00","567"
"2019-05-11T00:55:00+00:00","535"
"2019-05-11T00:56:00+00:00","616"
"2019-05-11T00:57:00+00:00","662"
"2019-05-11T00:58:00+00:00","603"
"2019-05-11T00:59:00+00:00","657"
"2019-05-11T01:00:00+00:00","567"
"2019-05-11T01:01:00+00:00","668"
"2019-05-11T01:02:00+00:00","600"
"2019-05-11T01:03:00+00:00","603"
"2019-05-11T01:04:00+00:00","692"
"2019-05-11T01:05:00+00:00","574"
"2019-05-11T01:06:00+00:00","699"
"2019-05-11T01:07:00+00:00","634"
"2019-05-11T01:08:00+00:00","627"
"2019-05-11T01:09:00+00:00","697"
"2019-05-11T01:10:00+00:00","607"
"2019-05-11T01:11:00+00:00","602"
"2019-05-11T01:12:00+00:00","643"
"2019-05-11T01:13:00+00:00","761"
"2019-05-11T01:14:00+00:00","700"
"2019-05-11T01:15:00+00:00","584"
"2019-05-11T01:16:00+00:00","543"
"2019-05-11T01:17:00+00:00","548"
"2019-05-11T01:18:00+00:00","579"
"2019-05-11T01:19:00+00:00","504"
"2019-05-11T01:20:00+00:00","566"
"2019-05-11T01:21:00+00:00","526"
"2019-05-11T01:22:00+00:00","585"
"2019-05-11T01:23:00+00:00","489"
"2019-05-11T01:24:00+00:00","526"
"2019-05-11T01:25:00+00:00","527"
"2019-05-11T01:26:00+00:00","571"
"2019-05-11T01:27:00+00:00","522"
"2019-05-11T01:28:00+00:00","480"
"2019-05-11T01:29:00+00:00","499"
"2019-05-11T01:30:00+00:00","476"
"2019-05-11T01:31:00+00:00","522"
"2019-05-11T01:32:00+00:00","485"
"2019-05-11T01:33:00+00:00","1054"
"2019-05-11T01:34:00+00:00","651"
"2019-05-11T01:35:00+00:00","4221"
"2019-05-11T01:36:00+00:00","508"
"2019-05-11T01:37:00+00:00","562"
"2019-05-11T01:38:00+00:00","585"
"2019-05-11T01:39:00+00:00","616"
"2019-05-11T01:40:00+00:00","485"
"2019-05-11T01:41:00+00:00","538"
"2019-05-11T01:42:00+00:00","621"
"2019-05-11T01:43:00+00:00","525"
"2019-05-11T01:44:00+00:00","547"
"2019-05-11T01:45:00+00:00","601"
"2019-05-11T01:46:00+00:00","673"
"2019-05-11T01:47:00+00:00","540"
"2019-05-11T01:48:00+00:00","556"
"2019-05-11T01:49:00+00:00","502"
"2019-05-11T01:50:00+00:00","633"
"2019-05-11T01:51:00+00:00","611"
"2019-05-11T01:52:00+00:00","559"
"2019-05-11T01:53:00+00:00","513"
"2019-05-11T01:54:00+00:00","513"
"2019-05-11T01:55:00+00:00","559"
"2019-05-11T01:56:00+00:00","626"
"2019-05-11T01:57:00+00:00","501"
"2019-05-11T01:58:00+00:00","857"
"2019-05-11T01:59:00+00:00","2139"
"2019-05-11T02:00:00+00:00","516"
"2019-05-11T02:01:00+00:00","502"
"2019-05-11T02:02:00+00:00","516"
"2019-05-11T02:03:00+00:00","493"
"2019-05-11T02:04:00+00:00","471"
"2019-05-11T02:05:00+00:00","523"
"2019-05-11T02:06:00+00:00","522"
"2019-05-11T02:07:00+00:00","484"
"2019-05-11T02:08:00+00:00","512"
"2019-05-11T02:09:00+00:00","786"
"2019-05-11T02:10:00+00:00","594"
"2019-05-11T02:11:00+00:00","1050"
"2019-05-11T02:12:00+00:00","651"
"2019-05-11T02:13:00+00:00","477"
"2019-05-11T02:14:00+00:00","482"
"2019-05-11T02:15:00+00:00","1187"
"2019-05-11T02:16:00+00:00","524"
"2019-05-11T02:17:00+00:00","455"
"2019-05-11T02:18:00+00:00","486"
"2019-05-11T02:19:00+00:00","819"
"2019-05-11T02:20:00+00:00","674"
"2019-05-11T02:21:00+00:00","608"
"2019-05-11T02:22:00+00:00","504"
"2019-05-11T02:23:00+00:00","485"
"2019-05-11T02:24:00+00:00","484"
"2019-05-11T02:25:00+00:00","597"
"2019-05-11T02:26:00+00:00","1102"
"2019-05-11T02:27:00+00:00","615"
"2019-05-11T02:28:00+00:00","556"
"2019-05-11T02:29:00+00:00","534"
"2019-05-11T02:30:00+00:00","899"
"2019-05-11T02:31:00+00:00","1317"
"2019-05-11T02:32:00+00:00","497"
"2019-05-11T02:33:00+00:00","480"
"2019-05-11T02:34:00+00:00","501"
"2019-05-11T02:35:00+00:00","543"
"2019-05-11T02:36:00+00:00","541"
"2019-05-11T02:37:00+00:00","1224"
"2019-05-11T02:38:00+00:00","1098"
"2019-05-11T02:39:00+00:00","534"
"2019-05-11T02:40:00+00:00","493"
"2019-05-11T02:41:00+00:00","549"
"2019-05-11T02:42:00+00:00","434"
"2019-05-11T02:43:00+00:00","473"
"2019-05-11T02:44:00+00:00","574"
"2019-05-11T02:45:00+00:00","418"
"2019-05-11T02:46:00+00:00","489"
"2019-05-11T02:47:00+00:00","600"
"2019-05-11T02:48:00+00:00","469"
"2019-05-11T02:49:00+00:00","836"
"2019-05-11T02:50:00+00:00","533"
"2019-05-11T02:51:00+00:00","777"
"2019-05-11T02:52:00+00:00","642"
"2019-05-11T02:53:00+00:00","455"
"2019-05-11T02:54:00+00:00","428"
"2019-05-11T02:55:00+00:00","448"
"2019-05-11T02:56:00+00:00","770"
"2019-05-11T02:57:00+00:00","466"
"2019-05-11T02:58:00+00:00","743"
"2019-05-11T02:59:00+00:00","491"
"2019-05-11T03:00:00+00:00","552"
"2019-05-11T03:01:00+00:00","535"
"2019-05-11T03:02:00+00:00","446"
"2019-05-11T03:03:00+00:00","467"
"2019-05-11T03:04:00+00:00","775"
"2019-05-11T03:05:00+00:00","494"
"2019-05-11T03:06:00+00:00","758"
"2019-05-11T03:07:00+00:00","586"
"2019-05-11T03:08:00+00:00","569"
"2019-05-11T03:09:00+00:00","496"
"2019-05-11T03:10:00+00:00","429"
"2019-05-11T03:11:00+00:00","683"
"2019-05-11T03:12:00+00:00","472"
