"datetime","value"
"2019-05-24T00:00:00+00:00","170.699996948"
"2019-05-24T00:01:00+00:00","175.899993896"
"2019-05-24T00:02:00+00:00","182"
"2019-05-24T00:03:00+00:00","206.199996948"
"2019-05-24T00:04:00+00:00","184.300003052"
"2019-05-24T00:05:00+00:00","173.100006104"
"2019-05-24T00:06:00+00:00","158.5"
"2019-05-24T00:07:00+00:00","137.600006104"
"2019-05-24T00:08:00+00:00","131.199996948"
"2019-05-24T00:09:00+00:00","153.300003052"
"2019-05-24T00:10:00+00:00","159.699996948"
"2019-05-24T00:11:00+00:00","185.800003052"
"2019-05-24T00:12:00+00:00","172.800003052"
"2019-05-24T00:13:00+00:00","161.3"
"2019-05-24T00:14:00+00:00","138"
"2019-05-24T00:15:00+00:00","125.800003052"
"2019-05-24T00:16:00+00:00","165.5"
"2019-05-24T00:17:00+00:00","0"
"2019-05-24T00:18:00+00:00","180.100006104"
"2019-05-24T00:19:00+00:00","164.100006104"
"2019-05-24T00:20:00+00:00","176.600006104"
"2019-05-24T00:21:00+00:00","159.100006104"
"2019-05-24T00:22:00+00:00","171.300003052"
"2019-05-24T00:23:00+00:00","175"
"2019-05-24T00:24:00+00:00","169.5"
"2019-05-24T00:25:00+00:00","185.199996948"
"2019-05-24T00:26:00+00:00","174.300003052"
"2019-05-24T00:27:00+00:00","174.300003052"
"2019-05-24T00:28:00+00:00","169.800003052"
"2019-05-24T00:29:00+00:00","156.300003052"
"2019-05-24T00:30:00+00:00","168.300003052"
"2019-05-24T00:31:00+00:00","185.100006104"
"2019-05-24T00:32:00+00:00","174.899993896"
"2019-05-24T00:33:00+00:00","176"
"2019-05-24T00:34:00+00:00","170.899993896"
"2019-05-24T00:35:00+00:00","171.100006104"
"2019-05-24T00:36:00+00:00","162.300003052"
"2019-05-24T00:37:00+00:00","183.199996948"
"2019-05-24T00:38:00+00:00","179.5"
"2019-05-24T00:39:00+00:00","184.100006104"
"2019-05-24T00:40:00+00:00","180"
"2019-05-24T00:41:00+00:00","192.699996948"
"2019-05-24T00:42:00+00:00","172.800003052"
"2019-05-24T00:43:00+00:00","171.7"
"2019-05-24T00:44:00+00:00","0"
"2019-05-24T00:45:00+00:00","0"
"2019-05-24T00:46:00+00:00","0"
"2019-05-24T00:47:00+00:00","121.900001526"
"2019-05-24T00:48:00+00:00","0"
"2019-05-24T00:49:00+00:00","309"
"2019-05-24T00:50:00+00:00","0"
"2019-05-24T00:51:00+00:00","0"
"2019-05-24T00:52:00+00:00","0"
"2019-05-24T00:53:00+00:00","145.7"
"2019-05-24T00:54:00+00:00","159.699996948"
"2019-05-24T00:55:00+00:00","0"
"2019-05-24T00:56:00+00:00","0"
"2019-05-24T00:57:00+00:00","161.5"
"2019-05-24T00:58:00+00:00","0"
"2019-05-24T00:59:00+00:00","0"
"2019-05-24T01:00:00+00:00","0"
"2019-05-24T01:01:00+00:00","0"
"2019-05-24T01:02:00+00:00","338.600006104"
"2019-05-24T01:03:00+00:00","149.6"
"2019-05-24T01:04:00+00:00","151.5"
"2019-05-24T01:05:00+00:00","0"
"2019-05-24T01:06:00+00:00","0"
"2019-05-24T01:07:00+00:00","0"
"2019-05-24T01:08:00+00:00","0"
"2019-05-24T01:09:00+00:00","155.899993896"
"2019-05-24T01:10:00+00:00","167.300003052"
"2019-05-24T01:11:00+00:00","168.5"
"2019-05-24T01:12:00+00:00","188.899993896"
"2019-05-24T01:13:00+00:00","153"
"2019-05-24T01:14:00+00:00","178.100006104"
"2019-05-24T01:15:00+00:00","154.199996948"
"2019-05-24T01:16:00+00:00","169.800003052"
