"datetime","value"
"2019-07-06T00:00:00+00:00","171.899993896"
"2019-07-06T00:01:00+00:00","194.600006104"
"2019-07-06T00:02:00+00:00","166.399993896"
"2019-07-06T00:03:00+00:00","162.5"
"2019-07-06T00:04:00+00:00","0"
"2019-07-06T00:05:00+00:00","186.300003052"
"2019-07-06T00:06:00+00:00","0"
"2019-07-06T00:07:00+00:00","177.5"
"2019-07-06T00:08:00+00:00","224"
"2019-07-06T00:09:00+00:00","172.600006104"
"2019-07-06T00:10:00+00:00","159.300003052"
"2019-07-06T00:11:00+00:00","173.800003052"
"2019-07-06T00:12:00+00:00","195.100006104"
"2019-07-06T00:13:00+00:00","168.5"
"2019-07-06T00:14:00+00:00","167.300003052"
"2019-07-06T00:15:00+00:00","0"
"2019-07-06T00:16:00+00:00","0"
"2019-07-06T00:17:00+00:00","0"
"2019-07-06T00:18:00+00:00","0"
"2019-07-06T00:19:00+00:00","0"
"2019-07-06T00:20:00+00:00","69.8000030518"
"2019-07-06T00:21:00+00:00","0"
"2019-07-06T00:22:00+00:00","0"
"2019-07-06T00:23:00+00:00","0"
"2019-07-06T00:24:00+00:00","179"
"2019-07-06T00:25:00+00:00","0"
"2019-07-06T00:26:00+00:00","195.300003052"
"2019-07-06T00:27:00+00:00","0"
"2019-07-06T00:28:00+00:00","0"
"2019-07-06T00:29:00+00:00","0"
"2019-07-06T00:30:00+00:00","0"
"2019-07-06T00:31:00+00:00","0"
"2019-07-06T00:32:00+00:00","200.199996948"
"2019-07-06T00:33:00+00:00","181.699996948"
"2019-07-06T00:34:00+00:00","170"
"2019-07-06T00:35:00+00:00","162.8"
"2019-07-06T00:36:00+00:00","0"
"2019-07-06T00:37:00+00:00","192"
"2019-07-06T00:38:00+00:00","0"
"2019-07-06T00:39:00+00:00","0"
"2019-07-06T00:40:00+00:00","0"
"2019-07-06T00:41:00+00:00","0"
"2019-07-06T00:42:00+00:00","180.399993896"
"2019-07-06T00:43:00+00:00","177.199996948"
"2019-07-06T00:44:00+00:00","182.800003052"
