"datetime","value"
"2019-05-12T00:00:00+00:00","264.899993896"
"2019-05-12T00:01:00+00:00","220.699996948"
"2019-05-12T00:02:00+00:00","285.200012207"
"2019-05-12T00:03:00+00:00","351.100006104"
"2019-05-12T00:04:00+00:00","193.800003052"
"2019-05-12T00:05:00+00:00","804.700012207"
"2019-05-12T00:06:00+00:00","615.700012207"
"2019-05-12T00:07:00+00:00","689.200012207"
"2019-05-12T00:08:00+00:00","540"
"2019-05-12T00:09:00+00:00","313"
"2019-05-12T00:10:00+00:00","188.400009155"
"2019-05-12T00:11:00+00:00","456"
"2019-05-12T00:12:00+00:00","302.200012207"
"2019-05-12T00:13:00+00:00","562.5"
"2019-05-12T00:14:00+00:00","613"
"2019-05-12T00:15:00+00:00","701"
"2019-05-12T00:16:00+00:00","349.800018311"
"2019-05-12T00:17:00+00:00","206.699996948"
"2019-05-12T00:18:00+00:00","176.5"
"2019-05-12T00:19:00+00:00","206.600006104"
"2019-05-12T00:20:00+00:00","232.600006104"
"2019-05-12T00:21:00+00:00","262.399993896"
"2019-05-12T00:22:00+00:00","251.5"
"2019-05-12T00:23:00+00:00","256.800018311"
"2019-05-12T00:24:00+00:00","271.3"
"2019-05-12T00:25:00+00:00","218.900009155"
"2019-05-12T00:26:00+00:00","185.100006104"
"2019-05-12T00:27:00+00:00","154.300003052"
"2019-05-12T00:28:00+00:00","203.199996948"
"2019-05-12T00:29:00+00:00","288.100006104"
"2019-05-12T00:30:00+00:00","451.200012207"
"2019-05-12T00:31:00+00:00","375.6"
"2019-05-12T00:32:00+00:00","631.100036621"
"2019-05-12T00:33:00+00:00","385.200012207"
"2019-05-12T00:34:00+00:00","508.899993896"
"2019-05-12T00:35:00+00:00","498.800018311"
"2019-05-12T00:36:00+00:00","428.700012207"
"2019-05-12T00:37:00+00:00","338.5"
"2019-05-12T00:38:00+00:00","276"
"2019-05-12T00:39:00+00:00","272"
"2019-05-12T00:40:00+00:00","273.700012207"
"2019-05-12T00:41:00+00:00","353.300018311"
"2019-05-12T00:42:00+00:00","266.899993896"
"2019-05-12T00:43:00+00:00","190"
"2019-05-12T00:44:00+00:00","185.1"
"2019-05-12T00:45:00+00:00","188.900009155"
"2019-05-12T00:46:00+00:00","220.100006104"
"2019-05-12T00:47:00+00:00","552.100036621"
"2019-05-12T00:48:00+00:00","319.100006104"
"2019-05-12T00:49:00+00:00","263.600006104"
"2019-05-12T00:50:00+00:00","226.400009155"
"2019-05-12T00:51:00+00:00","367.3"
"2019-05-12T00:52:00+00:00","268.100006104"
"2019-05-12T00:53:00+00:00","260.800018311"
"2019-05-12T00:54:00+00:00","248.400009155"
"2019-05-12T00:55:00+00:00","254.5"
"2019-05-12T00:56:00+00:00","235.100006104"
"2019-05-12T00:57:00+00:00","394.800018311"
"2019-05-12T00:58:00+00:00","400.100006104"
"2019-05-12T00:59:00+00:00","207.900009155"
"2019-05-12T01:00:00+00:00","156.300003052"
"2019-05-12T01:01:00+00:00","123.200004578"
"2019-05-12T01:02:00+00:00","152"
"2019-05-12T01:03:00+00:00","218.800003052"
"2019-05-12T01:04:00+00:00","136.100006104"
"2019-05-12T01:05:00+00:00","125.599998474"
"2019-05-12T01:06:00+00:00","136"
"2019-05-12T01:07:00+00:00","200.400009155"
"2019-05-12T01:08:00+00:00","261.300018311"
"2019-05-12T01:09:00+00:00","279.300018311"
"2019-05-12T01:10:00+00:00","294.800018311"
"2019-05-12T01:11:00+00:00","298"
"2019-05-12T01:12:00+00:00","325.5"
"2019-05-12T01:13:00+00:00","565"
"2019-05-12T01:14:00+00:00","343.5"
"2019-05-12T01:15:00+00:00","296.899993896"
"2019-05-12T01:16:00+00:00","384.100006104"
"2019-05-12T01:17:00+00:00","268.399993896"
"2019-05-12T01:18:00+00:00","249.600006104"
"2019-05-12T01:19:00+00:00","242.600006104"
"2019-05-12T01:20:00+00:00","216.100006104"
"2019-05-12T01:21:00+00:00","231.400009155"
"2019-05-12T01:22:00+00:00","256.300018311"
"2019-05-12T01:23:00+00:00","244.199996948"
"2019-05-12T01:24:00+00:00","244.600006104"
"2019-05-12T01:25:00+00:00","258.200012207"
"2019-05-12T01:26:00+00:00","262.300018311"
"2019-05-12T01:27:00+00:00","284.899993896"
"2019-05-12T01:28:00+00:00","322.899993896"
"2019-05-12T01:29:00+00:00","316.100006104"
"2019-05-12T01:30:00+00:00","339.899993896"
"2019-05-12T01:31:00+00:00","405.4"
"2019-05-12T01:32:00+00:00","668.900024414"
"2019-05-12T01:33:00+00:00","507.100006104"
"2019-05-12T01:34:00+00:00","399.200012207"
