"datetime","value"
"2019-07-04T00:00:00+00:00","277"
"2019-07-04T00:01:00+00:00","245"
"2019-07-04T00:02:00+00:00","212"
"2019-07-04T00:03:00+00:00","178"
"2019-07-04T00:04:00+00:00","176"
"2019-07-04T00:05:00+00:00","194"
"2019-07-04T00:06:00+00:00","201"
"2019-07-04T00:07:00+00:00","258"
"2019-07-04T00:08:00+00:00","317"
"2019-07-04T00:09:00+00:00","255"
"2019-07-04T00:10:00+00:00","308"
"2019-07-04T00:11:00+00:00","257"
"2019-07-04T00:12:00+00:00","256"
"2019-07-04T00:13:00+00:00","203"
"2019-07-04T00:14:00+00:00","251"
"2019-07-04T00:15:00+00:00","239"
"2019-07-04T00:16:00+00:00","291"
"2019-07-04T00:17:00+00:00","583"
"2019-07-04T00:18:00+00:00","482"
"2019-07-04T00:19:00+00:00","742"
"2019-07-04T00:20:00+00:00","431"
"2019-07-04T00:21:00+00:00","414"
"2019-07-04T00:22:00+00:00","451"
"2019-07-04T00:23:00+00:00","406"
"2019-07-04T00:24:00+00:00","576"
"2019-07-04T00:25:00+00:00","379"
"2019-07-04T00:26:00+00:00","417"
"2019-07-04T00:27:00+00:00","392"
"2019-07-04T00:28:00+00:00","503"
"2019-07-04T00:29:00+00:00","450"
"2019-07-04T00:30:00+00:00","469"
"2019-07-04T00:31:00+00:00","383"
"2019-07-04T00:32:00+00:00","293"
"2019-07-04T00:33:00+00:00","335"
"2019-07-04T00:34:00+00:00","366"
"2019-07-04T00:35:00+00:00","709"
"2019-07-04T00:36:00+00:00","712"
"2019-07-04T00:37:00+00:00","584"
"2019-07-04T00:38:00+00:00","513"
"2019-07-04T00:39:00+00:00","845"
"2019-07-04T00:40:00+00:00","355"
"2019-07-04T00:41:00+00:00","278"
"2019-07-04T00:42:00+00:00","395"
"2019-07-04T00:43:00+00:00","376"
"2019-07-04T00:44:00+00:00","442"
"2019-07-04T00:45:00+00:00","400"
"2019-07-04T00:46:00+00:00","339"
"2019-07-04T00:47:00+00:00","331"
"2019-07-04T00:48:00+00:00","307"
"2019-07-04T00:49:00+00:00","328"
"2019-07-04T00:50:00+00:00","298"
"2019-07-04T00:51:00+00:00","355"
"2019-07-04T00:52:00+00:00","448"
"2019-07-04T00:53:00+00:00","317"
"2019-07-04T00:54:00+00:00","352"
"2019-07-04T00:55:00+00:00","341"
"2019-07-04T00:56:00+00:00","387"
"2019-07-04T00:57:00+00:00","402"
"2019-07-04T00:58:00+00:00","387"
"2019-07-04T00:59:00+00:00","323"
"2019-07-04T01:00:00+00:00","334"
"2019-07-04T01:01:00+00:00","376"
"2019-07-04T01:02:00+00:00","456"
"2019-07-04T01:03:00+00:00","343"
"2019-07-04T01:04:00+00:00","341"
"2019-07-04T01:05:00+00:00","353"
"2019-07-04T01:06:00+00:00","354"
"2019-07-04T01:07:00+00:00","308"
"2019-07-04T01:08:00+00:00","232"
"2019-07-04T01:09:00+00:00","319"
"2019-07-04T01:10:00+00:00","324"
"2019-07-04T01:11:00+00:00","271"
"2019-07-04T01:12:00+00:00","297"
"2019-07-04T01:13:00+00:00","272"
"2019-07-04T01:14:00+00:00","351"
"2019-07-04T01:15:00+00:00","256"
"2019-07-04T01:16:00+00:00","240"
"2019-07-04T01:17:00+00:00","269"
"2019-07-04T01:18:00+00:00","300"
"2019-07-04T01:19:00+00:00","255"
"2019-07-04T01:20:00+00:00","272"
"2019-07-04T01:21:00+00:00","272"
"2019-07-04T01:22:00+00:00","312"
"2019-07-04T01:23:00+00:00","252"
"2019-07-04T01:24:00+00:00","252"
"2019-07-04T01:25:00+00:00","318"
"2019-07-04T01:26:00+00:00","254"
"2019-07-04T01:27:00+00:00","243"
"2019-07-04T01:28:00+00:00","252"
"2019-07-04T01:29:00+00:00","208"
"2019-07-04T01:30:00+00:00","211"
"2019-07-04T01:31:00+00:00","214"
"2019-07-04T01:32:00+00:00","231"
"2019-07-04T01:33:00+00:00","276"
"2019-07-04T01:34:00+00:00","255"
"2019-07-04T01:35:00+00:00","258"
"2019-07-04T01:36:00+00:00","234"
"2019-07-04T01:37:00+00:00","221"
"2019-07-04T01:38:00+00:00","263"
"2019-07-04T01:39:00+00:00","241"
"2019-07-04T01:40:00+00:00","246"
"2019-07-04T01:41:00+00:00","248"
"2019-07-04T01:42:00+00:00","246"
"2019-07-04T01:43:00+00:00","207"
"2019-07-04T01:44:00+00:00","229"
"2019-07-04T01:45:00+00:00","205"
"2019-07-04T01:46:00+00:00","204"
"2019-07-04T01:47:00+00:00","201"
"2019-07-04T01:48:00+00:00","185"
"2019-07-04T01:49:00+00:00","181"
"2019-07-04T01:50:00+00:00","210"
"2019-07-04T01:51:00+00:00","210"
"2019-07-04T01:52:00+00:00","224"
"2019-07-04T01:53:00+00:00","217"
"2019-07-04T01:54:00+00:00","237"
"2019-07-04T01:55:00+00:00","232"
"2019-07-04T01:56:00+00:00","254"
"2019-07-04T01:57:00+00:00","232"
"2019-07-04T01:58:00+00:00","252"
"2019-07-04T01:59:00+00:00","275"
"2019-07-04T02:00:00+00:00","291"
"2019-07-04T02:01:00+00:00","279"
"2019-07-04T02:02:00+00:00","209"
"2019-07-04T02:03:00+00:00","215"
"2019-07-04T02:04:00+00:00","231"
"2019-07-04T02:05:00+00:00","222"
"2019-07-04T02:06:00+00:00","209"
"2019-07-04T02:07:00+00:00","209"
"2019-07-04T02:08:00+00:00","166"
"2019-07-04T02:09:00+00:00","216"
"2019-07-04T02:10:00+00:00","247"
"2019-07-04T02:11:00+00:00","212"
"2019-07-04T02:12:00+00:00","206"
"2019-07-04T02:13:00+00:00","242"
"2019-07-04T02:14:00+00:00","185"
"2019-07-04T02:15:00+00:00","215"
"2019-07-04T02:15:58+00:00","217"
"2019-07-04T02:17:00+00:00","216"
"2019-07-04T02:18:00+00:00","276"
"2019-07-04T02:19:00+00:00","216"
"2019-07-04T02:20:00+00:00","253"
"2019-07-04T02:21:00+00:00","222"
"2019-07-04T02:22:00+00:00","185"
"2019-07-04T02:23:00+00:00","198"
"2019-07-04T02:24:00+00:00","221"
"2019-07-04T02:25:00+00:00","230"
