"datetime","value"
"2019-04-14T18:15:00+00:00","0"
"2019-04-14T18:25:00+00:00","37.1"
"2019-04-14T18:35:00+00:00","56.8"
"2019-04-14T18:45:00+00:00","41.2"
"2019-04-14T18:55:00+00:00","54.2"
"2019-04-14T19:05:00+00:00","23.7"
"2019-04-14T19:15:00+00:00","46.2000007629"
"2019-04-14T19:25:00+00:00","21.7"
"2019-04-14T19:35:00+00:00","38.0999984741"
"2019-04-14T19:45:00+00:00","28.2"
"2019-04-14T19:55:00+00:00","47.6"
"2019-04-14T20:05:00+00:00","31.5"
"2019-04-14T20:15:00+00:00","34"
"2019-04-14T20:25:00+00:00","22.4"
"2019-04-14T20:35:00+00:00","31.5"
"2019-04-14T20:45:00+00:00","44.3"
"2019-04-14T20:55:00+00:00","29.9"
"2019-04-14T21:05:00+00:00","38.4"
"2019-04-14T21:15:00+00:00","32.9000015259"
"2019-04-14T21:25:00+00:00","38.3"
"2019-04-14T21:35:00+00:00","23.8"
"2019-04-14T21:45:00+00:00","25.3"
"2019-04-14T21:55:00+00:00","40.3"
"2019-04-14T22:05:00+00:00","27.6"
"2019-04-14T22:15:00+00:00","29.2999992371"
"2019-04-14T22:25:00+00:00","36.3"
"2019-04-14T22:35:00+00:00","41.5"
"2019-04-14T22:45:00+00:00","29.3"
"2019-04-14T22:55:00+00:00","10.5"
"2019-04-14T23:05:00+00:00","43.2"
"2019-04-14T23:15:00+00:00","111.400001526"
"2019-04-14T23:25:00+00:00","55"
"2019-04-14T23:35:00+00:00","359.6"
"2019-04-14T23:45:00+00:00","32.6"
"2019-04-14T23:55:00+00:00","31.2"
"2019-04-15T00:05:00+00:00","19.8"
"2019-04-15T00:15:00+00:00","26.3"
"2019-04-15T00:25:00+00:00","41"
"2019-04-15T00:35:00+00:00","32.6"
"2019-04-15T00:45:00+00:00","30.2"
"2019-04-15T00:55:00+00:00","53.6"
"2019-04-15T01:05:00+00:00","40.8"
"2019-04-15T01:15:00+00:00","202.699996948"
"2019-04-15T01:25:00+00:00","194.5"
"2019-04-15T01:35:00+00:00","176.8"
"2019-04-15T01:45:00+00:00","145.6"
"2019-04-15T01:55:00+00:00","76.2"
"2019-04-15T02:05:00+00:00","134"
"2019-04-15T02:15:00+00:00","0"
