"datetime","value"
"2019-06-24T00:00:00+00:00","11.1000003815"
"2019-06-24T00:01:00+00:00","11.6000003815"
"2019-06-24T00:02:00+00:00","14.8000001907"
"2019-06-24T00:03:00+00:00","13.8999996185"
"2019-06-24T00:04:00+00:00","15.1000003815"
"2019-06-24T00:05:00+00:00","16.2000007629"
"2019-06-24T00:06:00+00:00","15.5"
"2019-06-24T00:07:00+00:00","16"
"2019-06-24T00:08:00+00:00","15.5"
"2019-06-24T00:09:00+00:00","15.8999996185"
"2019-06-24T00:10:00+00:00","15.1000003815"
"2019-06-24T00:11:00+00:00","17"
"2019-06-24T00:12:00+00:00","16.8999996185"
"2019-06-24T00:13:00+00:00","15.9"
"2019-06-24T00:14:00+00:00","13.6999998093"
"2019-06-24T00:15:00+00:00","14.3999996185"
"2019-06-24T00:16:00+00:00","14.3999996185"
"2019-06-24T00:17:00+00:00","13.1000003815"
"2019-06-24T00:18:00+00:00","13.3999996185"
"2019-06-24T00:19:00+00:00","13"
"2019-06-24T00:20:00+00:00","12.3000001907"
"2019-06-24T00:21:00+00:00","13.3000001907"
"2019-06-24T00:22:00+00:00","13.1000003815"
"2019-06-24T00:23:00+00:00","14.1999998093"
"2019-06-24T00:24:00+00:00","13"
"2019-06-24T00:25:00+00:00","11.8000001907"
"2019-06-24T00:26:00+00:00","12.8999996185"
"2019-06-24T00:27:00+00:00","11.6999998093"
"2019-06-24T00:28:00+00:00","13.5"
"2019-06-24T00:29:00+00:00","13.8999996185"
"2019-06-24T00:30:00+00:00","12.8999996185"
"2019-06-24T00:31:00+00:00","13.6000003815"
"2019-06-24T00:32:00+00:00","12.8000001907"
"2019-06-24T00:33:00+00:00","12.7"
"2019-06-24T00:34:00+00:00","13"
"2019-06-24T00:35:00+00:00","11.3999996185"
"2019-06-24T00:36:00+00:00","11.3999996185"
"2019-06-24T00:37:00+00:00","12.6000003815"
"2019-06-24T00:38:00+00:00","11.5"
"2019-06-24T00:39:00+00:00","11"
"2019-06-24T00:40:00+00:00","11.5"
"2019-06-24T00:41:00+00:00","11"
"2019-06-24T00:42:00+00:00","10.3000001907"
"2019-06-24T00:43:00+00:00","12.3000001907"
"2019-06-24T00:44:00+00:00","11.3000001907"
"2019-06-24T00:45:00+00:00","10.3000001907"
"2019-06-24T00:46:00+00:00","10.8999996185"
"2019-06-24T00:47:00+00:00","10.5"
"2019-06-24T00:48:00+00:00","10.3000001907"
"2019-06-24T00:49:00+00:00","10.8999996185"
"2019-06-24T00:50:00+00:00","11.3999996185"
