"datetime","value"
"2019-05-25T00:00:00+00:00","54"
"2019-05-25T00:01:00+00:00","52"
"2019-05-25T00:02:00+00:00","51.2000007629"
"2019-05-25T00:03:00+00:00","48.7999992371"
"2019-05-25T00:04:00+00:00","50.0999984741"
"2019-05-25T00:05:00+00:00","47.0999984741"
"2019-05-25T00:06:00+00:00","46.0999984741"
"2019-05-25T00:07:00+00:00","51.7000007629"
"2019-05-25T00:08:00+00:00","51.9"
"2019-05-25T00:09:00+00:00","45.5"
"2019-05-25T00:10:00+00:00","46.9000015259"
"2019-05-25T00:11:00+00:00","50.5"
"2019-05-25T00:12:00+00:00","46.5"
"2019-05-25T00:13:00+00:00","49.5999984741"
"2019-05-25T00:14:00+00:00","45.9000015259"
"2019-05-25T00:15:00+00:00","48.9000015259"
"2019-05-25T00:16:00+00:00","53.9000015259"
"2019-05-25T00:17:00+00:00","55.4000015259"
"2019-05-25T00:18:00+00:00","61"
"2019-05-25T00:19:00+00:00","59.7000007629"
"2019-05-25T00:20:00+00:00","56.5999984741"
"2019-05-25T00:21:00+00:00","52.2000007629"
"2019-05-25T00:22:00+00:00","54.5999984741"
"2019-05-25T00:23:00+00:00","54.4000015259"
"2019-05-25T00:24:00+00:00","52.9000015259"
"2019-05-25T00:25:00+00:00","55.9000015259"
"2019-05-25T00:26:00+00:00","51.7999992371"
"2019-05-25T00:27:00+00:00","49.2999992371"
"2019-05-25T00:28:00+00:00","53.5"
"2019-05-25T00:29:00+00:00","50.2000007629"
"2019-05-25T00:30:00+00:00","55.0999984741"
"2019-05-25T00:31:00+00:00","56.7000007629"
"2019-05-25T00:32:00+00:00","59.4000015259"
"2019-05-25T00:33:00+00:00","54.7999992371"
"2019-05-25T00:34:00+00:00","62.2999992371"
"2019-05-25T00:35:00+00:00","55.4000015259"
"2019-05-25T00:36:00+00:00","59.9000015259"
"2019-05-25T00:37:00+00:00","58.0999984741"
"2019-05-25T00:38:00+00:00","56.7999992371"
"2019-05-25T00:39:00+00:00","51.5999984741"
"2019-05-25T00:40:00+00:00","62.7000007629"
"2019-05-25T00:41:00+00:00","51.2999992371"
"2019-05-25T00:42:00+00:00","51.7000007629"
"2019-05-25T00:43:00+00:00","56.9000015259"
"2019-05-25T00:44:00+00:00","63.7999992371"
"2019-05-25T00:45:00+00:00","75.5"
"2019-05-25T00:46:00+00:00","67.9000015259"
"2019-05-25T00:47:00+00:00","66.9000015259"
"2019-05-25T00:48:00+00:00","57.6"
"2019-05-25T00:49:00+00:00","63.0999984741"
"2019-05-25T00:50:00+00:00","59.2999992371"
"2019-05-25T00:51:00+00:00","63.5"
"2019-05-25T00:52:00+00:00","66.3000030518"
"2019-05-25T00:53:00+00:00","63.4000015259"
"2019-05-25T00:54:00+00:00","65.0999984741"
"2019-05-25T00:55:00+00:00","61.5"
"2019-05-25T00:56:00+00:00","68.5"
"2019-05-25T00:57:00+00:00","68.6999969482"
"2019-05-25T00:58:00+00:00","60.5999984741"
"2019-05-25T00:59:00+00:00","67"
"2019-05-25T01:00:00+00:00","77.0999984741"
"2019-05-25T01:01:00+00:00","69.0999984741"
"2019-05-25T01:02:00+00:00","75.4000015259"
"2019-05-25T01:03:00+00:00","71.5"
"2019-05-25T01:04:00+00:00","63.7999992371"
"2019-05-25T01:05:00+00:00","64.5999984741"
"2019-05-25T01:06:00+00:00","74.9000015259"
"2019-05-25T01:07:00+00:00","75.4000015259"
"2019-05-25T01:08:00+00:00","77.2"
"2019-05-25T01:09:00+00:00","66.1999969482"
"2019-05-25T01:10:00+00:00","77.4000015259"
"2019-05-25T01:11:00+00:00","72.8000030518"
"2019-05-25T01:12:00+00:00","72.9000015259"
"2019-05-25T01:13:00+00:00","76"
"2019-05-25T01:14:00+00:00","77.1999969482"
"2019-05-25T01:15:00+00:00","77.8000030518"
"2019-05-25T01:16:00+00:00","77.3000030518"
"2019-05-25T01:17:00+00:00","76.6999969482"
"2019-05-25T01:18:00+00:00","76"
"2019-05-25T01:19:00+00:00","77.1999969482"
"2019-05-25T01:20:00+00:00","84.6999969482"
"2019-05-25T01:21:00+00:00","82.5999984741"
"2019-05-25T01:22:00+00:00","65.0999984741"
"2019-05-25T01:23:00+00:00","67.3000030518"
"2019-05-25T01:24:00+00:00","68.1999969482"
"2019-05-25T01:25:00+00:00","76.0999984741"
"2019-05-25T01:26:00+00:00","72.8000030518"
"2019-05-25T01:27:00+00:00","64.5"
"2019-05-25T01:28:00+00:00","76.1"
"2019-05-25T01:29:00+00:00","78.1999969482"
"2019-05-25T01:30:00+00:00","77.0999984741"
"2019-05-25T01:31:00+00:00","75.4000015259"
"2019-05-25T01:32:00+00:00","69.0999984741"
"2019-05-25T01:33:00+00:00","78.9000015259"
"2019-05-25T01:34:00+00:00","74"
"2019-05-25T01:35:00+00:00","67"
"2019-05-25T01:36:00+00:00","74.0999984741"
"2019-05-25T01:37:00+00:00","85.0999984741"
"2019-05-25T01:38:00+00:00","68.8000030518"
"2019-05-25T01:39:00+00:00","86.5999984741"
"2019-05-25T01:40:00+00:00","81.6999969482"
"2019-05-25T01:41:00+00:00","74"
"2019-05-25T01:42:00+00:00","81.9000015259"
"2019-05-25T01:43:00+00:00","86.5"
"2019-05-25T01:44:00+00:00","71"
"2019-05-25T01:45:00+00:00","87.6999969482"
"2019-05-25T01:46:00+00:00","68.4000015259"
"2019-05-25T01:47:00+00:00","74.6999969482"
"2019-05-25T01:48:00+00:00","83.5"
"2019-05-25T01:49:00+00:00","85.1999969482"
"2019-05-25T01:50:00+00:00","83.1999969482"
"2019-05-25T01:51:00+00:00","80.0999984741"
"2019-05-25T01:52:00+00:00","68"
"2019-05-25T01:53:00+00:00","87.0999984741"
"2019-05-25T01:54:00+00:00","88.1999969482"
"2019-05-25T01:55:00+00:00","97.6999969482"
"2019-05-25T01:56:00+00:00","77.3000030518"
"2019-05-25T01:57:00+00:00","83.8000030518"
"2019-05-25T01:58:00+00:00","80.0999984741"
"2019-05-25T01:59:00+00:00","77"
"2019-05-25T02:00:00+00:00","74.3000030518"
"2019-05-25T02:01:00+00:00","86"
"2019-05-25T02:02:00+00:00","75.3000030518"
"2019-05-25T02:03:00+00:00","76"
"2019-05-25T02:04:00+00:00","78.3000030518"
"2019-05-25T02:05:00+00:00","65.9000015259"
"2019-05-25T02:06:00+00:00","66.8000030518"
"2019-05-25T02:07:00+00:00","60"
"2019-05-25T02:08:00+00:00","71.1"
"2019-05-25T02:09:00+00:00","143.899993896"
"2019-05-25T02:10:00+00:00","75.5999984741"
"2019-05-25T02:11:00+00:00","136.899993896"
"2019-05-25T02:12:00+00:00","82.8000030518"
"2019-05-25T02:13:00+00:00","65"
"2019-05-25T02:14:00+00:00","89.9000015259"
"2019-05-25T02:15:00+00:00","102.800003052"
"2019-05-25T02:16:00+00:00","84.6999969482"
"2019-05-25T02:17:00+00:00","81"
"2019-05-25T02:18:00+00:00","78.5"
"2019-05-25T02:19:00+00:00","60.2999992371"
"2019-05-25T02:20:00+00:00","109.5"
"2019-05-25T02:21:00+00:00","85.3000030518"
"2019-05-25T02:22:00+00:00","159.800003052"
"2019-05-25T02:23:00+00:00","96.3000030518"
"2019-05-25T02:24:00+00:00","79.0999984741"
"2019-05-25T02:25:00+00:00","64.9000015259"
"2019-05-25T02:26:00+00:00","65"
"2019-05-25T02:27:00+00:00","99.4000015259"
"2019-05-25T02:28:00+00:00","77.9"
"2019-05-25T02:29:00+00:00","109"
"2019-05-25T02:30:00+00:00","71.3000030518"
"2019-05-25T02:31:00+00:00","66.6999969482"
"2019-05-25T02:32:00+00:00","191.899993896"
"2019-05-25T02:33:00+00:00","199.399993896"
"2019-05-25T02:34:00+00:00","62.0999984741"
"2019-05-25T02:35:00+00:00","136.899993896"
"2019-05-25T02:36:00+00:00","114.699996948"
"2019-05-25T02:37:00+00:00","78.8000030518"
"2019-05-25T02:38:00+00:00","80.3000030518"
"2019-05-25T02:39:00+00:00","78.9000015259"
"2019-05-25T02:40:00+00:00","122.300003052"
"2019-05-25T02:41:00+00:00","71.9000015259"
"2019-05-25T02:42:00+00:00","56.9000015259"
"2019-05-25T02:43:00+00:00","66.8000030518"
"2019-05-25T02:44:00+00:00","58.9000015259"
"2019-05-25T02:45:00+00:00","85.4000015259"
"2019-05-25T02:46:00+00:00","75.0999984741"
"2019-05-25T02:47:00+00:00","74.0999984741"
"2019-05-25T02:48:00+00:00","119.1"
"2019-05-25T02:49:00+00:00","120.800003052"
"2019-05-25T02:50:00+00:00","81"
"2019-05-25T02:51:00+00:00","63.0999984741"
"2019-05-25T02:52:00+00:00","116.300003052"
"2019-05-25T02:53:00+00:00","279.100006104"
"2019-05-25T02:54:00+00:00","162.100006104"
"2019-05-25T02:55:00+00:00","55.9000015259"
"2019-05-25T02:56:00+00:00","108.199996948"
"2019-05-25T02:57:00+00:00","72.5"
"2019-05-25T02:58:00+00:00","62.0999984741"
"2019-05-25T02:59:00+00:00","177.600006104"
"2019-05-25T03:00:00+00:00","63.5"
"2019-05-25T03:01:00+00:00","82.1999969482"
"2019-05-25T03:02:00+00:00","113.099998474"
"2019-05-25T03:03:00+00:00","83.5"
"2019-05-25T03:04:00+00:00","67.9000015259"
"2019-05-25T03:05:00+00:00","63.9000015259"
"2019-05-25T03:06:00+00:00","61.9000015259"
"2019-05-25T03:07:00+00:00","133.199996948"
"2019-05-25T03:08:00+00:00","171.8"
"2019-05-25T03:09:00+00:00","81.4000015259"
"2019-05-25T03:10:00+00:00","68.5999984741"
"2019-05-25T03:11:00+00:00","99.0999984741"
"2019-05-25T03:12:00+00:00","66.6999969482"
"2019-05-25T03:13:00+00:00","166.899993896"
"2019-05-25T03:14:00+00:00","73.1999969482"
"2019-05-25T03:15:00+00:00","166.100006104"
"2019-05-25T03:16:00+00:00","87.5999984741"
"2019-05-25T03:17:00+00:00","238"
"2019-05-25T03:18:00+00:00","73"
"2019-05-25T03:19:00+00:00","87.0999984741"
"2019-05-25T03:20:00+00:00","78"
"2019-05-25T03:21:00+00:00","58.2000007629"
"2019-05-25T03:22:00+00:00","71.6999969482"
"2019-05-25T03:23:00+00:00","76.3000030518"
"2019-05-25T03:24:00+00:00","100"
"2019-05-25T03:25:00+00:00","71.5999984741"
"2019-05-25T03:26:00+00:00","119.300003052"
"2019-05-25T03:27:00+00:00","179.699996948"
