"datetime","value"
"2019-05-01T00:00:00+00:00","6091"
"2019-05-01T00:01:00+00:00","5802"
"2019-05-01T00:02:00+00:00","5965"
"2019-05-01T00:03:00+00:00","6112"
"2019-05-01T00:04:00+00:00","6048"
"2019-05-01T00:05:00+00:00","6145"
"2019-05-01T00:06:00+00:00","6017"
"2019-05-01T00:07:00+00:00","6103"
"2019-05-01T00:08:00+00:00","6458"
"2019-05-01T00:09:00+00:00","6267"
"2019-05-01T00:10:00+00:00","6123"
"2019-05-01T00:11:00+00:00","6195"
"2019-05-01T00:12:00+00:00","6477"
"2019-05-01T00:13:00+00:00","6301"
"2019-05-01T00:14:00+00:00","6170"
"2019-05-01T00:15:00+00:00","6502"
"2019-05-01T00:16:00+00:00","6410"
"2019-05-01T00:17:00+00:00","6493"
"2019-05-01T00:18:00+00:00","6332"
"2019-05-01T00:19:00+00:00","6372"
"2019-05-01T00:20:00+00:00","6092"
"2019-05-01T00:21:00+00:00","6286"
"2019-05-01T00:22:00+00:00","6316"
"2019-05-01T00:23:00+00:00","6352"
"2019-05-01T00:24:00+00:00","6498"
"2019-05-01T00:25:00+00:00","6708"
"2019-05-01T00:26:00+00:00","7081"
"2019-05-01T00:27:00+00:00","8329"
"2019-05-01T00:28:00+00:00","10279"
"2019-05-01T00:29:00+00:00","10939"
"2019-05-01T00:30:00+00:00","10706"
"2019-05-01T00:31:00+00:00","12375"
"2019-05-01T00:32:00+00:00","14164"
"2019-05-01T00:33:00+00:00","13044"
"2019-05-01T00:34:00+00:00","10519"
"2019-05-01T00:35:00+00:00","9489"
"2019-05-01T00:36:00+00:00","8202"
"2019-05-01T00:37:00+00:00","7346"
"2019-05-01T00:38:00+00:00","7035"
"2019-05-01T00:39:00+00:00","7029"
"2019-05-01T00:40:00+00:00","6538"
"2019-05-01T00:41:00+00:00","6534"
"2019-05-01T00:42:00+00:00","6450"
"2019-05-01T00:43:00+00:00","6255"
"2019-05-01T00:44:00+00:00","6163"
"2019-05-01T00:45:00+00:00","6075"
"2019-05-01T00:46:00+00:00","5798"
"2019-05-01T00:47:00+00:00","6019"
"2019-05-01T00:48:00+00:00","6108"
"2019-05-01T00:49:00+00:00","5870"
"2019-05-01T00:50:00+00:00","5885"
"2019-05-01T00:51:00+00:00","5959"
"2019-05-01T00:52:00+00:00","5858"
"2019-05-01T00:53:00+00:00","5843"
"2019-05-01T00:54:00+00:00","5956"
"2019-05-01T00:55:00+00:00","5940"
"2019-05-01T00:56:00+00:00","6407"
"2019-05-01T00:57:00+00:00","6473"
"2019-05-01T00:58:00+00:00","6728"
"2019-05-01T00:59:00+00:00","6836"
"2019-05-01T01:00:00+00:00","6769"
"2019-05-01T01:01:00+00:00","6636"
"2019-05-01T01:02:00+00:00","6966"
"2019-05-01T01:03:00+00:00","6664"
"2019-05-01T01:04:00+00:00","6933"
"2019-05-01T01:05:00+00:00","6860"
"2019-05-01T01:06:00+00:00","6853"
"2019-05-01T01:07:00+00:00","6840"
"2019-05-01T01:08:00+00:00","6487"
"2019-05-01T01:09:00+00:00","6922"
"2019-05-01T01:10:00+00:00","6393"
"2019-05-01T01:11:00+00:00","6383"
"2019-05-01T01:12:00+00:00","5917"
"2019-05-01T01:13:00+00:00","6314"
"2019-05-01T01:14:00+00:00","6038"
"2019-05-01T01:15:00+00:00","6012"
"2019-05-01T01:16:00+00:00","6668"
"2019-05-01T01:17:00+00:00","6738"
"2019-05-01T01:18:00+00:00","6806"
"2019-05-01T01:19:00+00:00","6722"
"2019-05-01T01:20:00+00:00","6776"
"2019-05-01T01:21:00+00:00","6210"
"2019-05-01T01:22:00+00:00","6047"
"2019-05-01T01:23:00+00:00","6107"
"2019-05-01T01:24:00+00:00","6336"
"2019-05-01T01:25:00+00:00","6249"
"2019-05-01T01:26:00+00:00","5865"
"2019-05-01T01:27:00+00:00","6083"
"2019-05-01T01:28:00+00:00","5977"
"2019-05-01T01:29:00+00:00","6131"
"2019-05-01T01:30:00+00:00","6337"
"2019-05-01T01:31:00+00:00","6893"
"2019-05-01T01:32:00+00:00","7566"
"2019-05-01T01:33:00+00:00","8210"
"2019-05-01T01:34:00+00:00","6997"
"2019-05-01T01:35:00+00:00","7069"
"2019-05-01T01:36:00+00:00","6823"
"2019-05-01T01:37:00+00:00","6896"
"2019-05-01T01:38:00+00:00","7316"
"2019-05-01T01:39:00+00:00","7831"
"2019-05-01T01:40:00+00:00","8743"
"2019-05-01T01:41:00+00:00","10273"
"2019-05-01T01:42:00+00:00","12287"
"2019-05-01T01:43:00+00:00","13502"
"2019-05-01T01:44:00+00:00","12375"
"2019-05-01T01:45:00+00:00","12737"
"2019-05-01T01:46:00+00:00","11726"
"2019-05-01T01:47:00+00:00","11449"
"2019-05-01T01:48:00+00:00","11315"
"2019-05-01T01:49:00+00:00","11748"
"2019-05-01T01:50:00+00:00","11018"
"2019-05-01T01:51:00+00:00","10836"
"2019-05-01T01:52:00+00:00","10850"
"2019-05-01T01:53:00+00:00","10624"
"2019-05-01T01:54:00+00:00","10442"
"2019-05-01T01:55:00+00:00","11047"
"2019-05-01T01:56:00+00:00","10910"
"2019-05-01T01:57:00+00:00","9041"
"2019-05-01T01:58:00+00:00","8908"
"2019-05-01T01:59:00+00:00","8951"
"2019-05-01T02:00:00+00:00","8698"
"2019-05-01T02:01:00+00:00","12830"
"2019-05-01T02:02:00+00:00","9930"
"2019-05-01T02:03:00+00:00","13803"
"2019-05-01T02:04:00+00:00","13802"
"2019-05-01T02:05:00+00:00","0"
"2019-05-01T02:06:00+00:00","0"
"2019-05-01T02:07:00+00:00","0"
"2019-05-01T02:08:00+00:00","0"
"2019-05-01T02:09:00+00:00","0"
"2019-05-01T02:10:00+00:00","7299"
"2019-05-01T02:11:00+00:00","8298"
"2019-05-01T02:12:00+00:00","13908"
"2019-05-01T02:13:00+00:00","14047"
"2019-05-01T02:14:00+00:00","13889"
"2019-05-01T02:15:00+00:00","14112"
"2019-05-01T02:16:00+00:00","13953"
"2019-05-01T02:17:00+00:00","14049"
"2019-05-01T02:18:00+00:00","14089"
"2019-05-01T02:19:00+00:00","13331"
"2019-05-01T02:20:00+00:00","10819"
"2019-05-01T02:21:00+00:00","10760"
"2019-05-01T02:22:00+00:00","11172"
"2019-05-01T02:23:00+00:00","10156"
"2019-05-01T02:24:00+00:00","9059"
"2019-05-01T02:25:00+00:00","8837"
"2019-05-01T02:26:00+00:00","8021"
"2019-05-01T02:27:00+00:00","7325"
"2019-05-01T02:28:00+00:00","6034"
"2019-05-01T02:29:00+00:00","5854"
"2019-05-01T02:30:00+00:00","7203"
"2019-05-01T02:31:00+00:00","8506"
"2019-05-01T02:32:00+00:00","10373"
"2019-05-01T02:33:00+00:00","12025"
"2019-05-01T02:34:00+00:00","11666"
"2019-05-01T02:35:00+00:00","11829"
"2019-05-01T02:36:00+00:00","12440"
"2019-05-01T02:37:00+00:00","10577"
"2019-05-01T02:38:00+00:00","9474"
"2019-05-01T02:39:00+00:00","10708"
"2019-05-01T02:40:00+00:00","10455"
"2019-05-01T02:41:00+00:00","10607"
"2019-05-01T02:42:00+00:00","11106"
"2019-05-01T02:43:00+00:00","11279"
"2019-05-01T02:44:00+00:00","11366"
"2019-05-01T02:45:00+00:00","12972"
"2019-05-01T02:46:00+00:00","12070"
"2019-05-01T02:47:00+00:00","12036"
"2019-05-01T02:48:00+00:00","10879"
"2019-05-01T02:49:00+00:00","10707"
"2019-05-01T02:50:00+00:00","10226"
"2019-05-01T02:51:00+00:00","9598"
"2019-05-01T02:52:00+00:00","11829"
"2019-05-01T02:53:00+00:00","12341"
"2019-05-01T02:54:00+00:00","10760"
"2019-05-01T02:55:00+00:00","10682"
"2019-05-01T02:56:00+00:00","10144"
"2019-05-01T02:57:00+00:00","9543"
"2019-05-01T02:58:00+00:00","9044"
"2019-05-01T02:59:00+00:00","9063"
