"datetime","value"
"2019-04-27T00:00:00+00:00","135.899993896"
"2019-04-27T00:01:00+00:00","136.5"
"2019-04-27T00:02:00+00:00","147.699996948"
"2019-04-27T00:03:00+00:00","149.399993896"
"2019-04-27T00:04:00+00:00","143.899993896"
"2019-04-27T00:05:00+00:00","146.300003052"
"2019-04-27T00:06:00+00:00","136.699996948"
"2019-04-27T00:07:00+00:00","145.800003052"
"2019-04-27T00:08:00+00:00","155.600006104"
"2019-04-27T00:09:00+00:00","149.5"
"2019-04-27T00:10:00+00:00","148.699996948"
"2019-04-27T00:11:00+00:00","141.1"
"2019-04-27T00:12:00+00:00","156.399993896"
"2019-04-27T00:13:00+00:00","149.199996948"
"2019-04-27T00:14:00+00:00","144.399993896"
"2019-04-27T00:15:00+00:00","143.399993896"
"2019-04-27T00:16:00+00:00","140.600006104"
"2019-04-27T00:17:00+00:00","145.699996948"
"2019-04-27T00:18:00+00:00","140.5"
"2019-04-27T00:19:00+00:00","145.699996948"
"2019-04-27T00:20:00+00:00","172.2"
"2019-04-27T00:21:00+00:00","188.300003052"
"2019-04-27T00:22:00+00:00","140.600006104"
"2019-04-27T00:23:00+00:00","0"
"2019-04-27T00:24:00+00:00","0"
"2019-04-27T00:25:00+00:00","153.5"
"2019-04-27T00:26:00+00:00","122.300003052"
"2019-04-27T00:27:00+00:00","132.699996948"
"2019-04-27T00:28:00+00:00","122.300003052"
"2019-04-27T00:29:00+00:00","124.699996948"
"2019-04-27T00:30:00+00:00","129"
"2019-04-27T00:31:00+00:00","190.2"
"2019-04-27T00:32:00+00:00","145.699996948"
"2019-04-27T00:33:00+00:00","151.300003052"
"2019-04-27T00:34:00+00:00","134.899993896"
"2019-04-27T00:35:00+00:00","143.800003052"
"2019-04-27T00:36:00+00:00","198.899993896"
"2019-04-27T00:37:00+00:00","145.899993896"
"2019-04-27T00:38:00+00:00","151.5"
"2019-04-27T00:39:00+00:00","126.400001526"
"2019-04-27T00:40:00+00:00","127.300003052"
"2019-04-27T00:41:00+00:00","145.8"
"2019-04-27T00:42:00+00:00","137.300003052"
"2019-04-27T00:43:00+00:00","142.399993896"
"2019-04-27T00:44:00+00:00","139.100006104"
"2019-04-27T00:45:00+00:00","161.300003052"
"2019-04-27T00:46:00+00:00","154.899993896"
"2019-04-27T00:47:00+00:00","154.800003052"
"2019-04-27T00:48:00+00:00","147.600006104"
"2019-04-27T00:49:00+00:00","140.300003052"
