"datetime","value"
"2019-04-30T02:15:00+00:00","91.9"
"2019-04-30T03:15:00+00:00","98.9"
"2019-04-30T04:15:00+00:00","88.9"
"2019-04-30T05:15:00+00:00","79"
"2019-04-30T06:15:00+00:00","75"
"2019-04-30T07:15:00+00:00","71.5"
"2019-04-30T08:15:00+00:00","67.7"
"2019-04-30T09:15:00+00:00","68.6"
"2019-04-30T10:15:00+00:00","69.9"
"2019-04-30T12:15:00+00:00","71.1"
"2019-04-30T13:15:00+00:00","71"
"2019-04-30T14:15:00+00:00","72.3"
"2019-04-30T15:15:00+00:00","72.6"
"2019-04-30T16:15:00+00:00","71.4"
"2019-04-30T17:15:00+00:00","72"
"2019-04-30T18:15:00+00:00","71.2"
"2019-04-30T19:15:00+00:00","67.8"
"2019-04-30T20:15:00+00:00","62.7"
"2019-04-30T21:15:00+00:00","60.1"
"2019-04-30T22:15:00+00:00","58.4"
