"datetime","value"
"2019-05-30T00:05:00+00:00","54.2000007629"
"2019-05-30T00:15:00+00:00","61.7"
"2019-05-30T00:25:00+00:00","104.8"
"2019-05-30T00:35:00+00:00","118.300003052"
"2019-05-30T00:45:00+00:00","116.099998474"
"2019-05-30T00:55:00+00:00","105.7"
"2019-05-30T01:05:00+00:00","144.4"
"2019-05-30T01:15:00+00:00","157.4"
"2019-05-30T01:25:00+00:00","168.1"
"2019-05-30T01:35:00+00:00","112.3"
"2019-05-30T01:45:00+00:00","88.7"
"2019-05-30T01:55:00+00:00","93.9"
"2019-05-30T02:05:00+00:00","53.5"
"2019-05-30T02:15:00+00:00","57.6"
"2019-05-30T02:25:00+00:00","54.2"
"2019-05-30T02:35:00+00:00","46.8"
"2019-05-30T02:45:00+00:00","44.7"
"2019-05-30T02:55:00+00:00","51.2"
"2019-05-30T03:05:00+00:00","55.7000007629"
"2019-05-30T03:15:00+00:00","50.1"
"2019-05-30T03:25:00+00:00","37.9"
"2019-05-30T03:35:00+00:00","38.8"
"2019-05-30T03:45:00+00:00","30"
"2019-05-30T03:55:00+00:00","42"
"2019-05-30T04:05:00+00:00","51.1"
"2019-05-30T04:15:00+00:00","40.6"
"2019-05-30T04:25:00+00:00","37.7"
"2019-05-30T04:35:00+00:00","35.1"
"2019-05-30T04:45:00+00:00","42.9"
"2019-05-30T04:55:00+00:00","41.7999992371"
"2019-05-30T05:05:00+00:00","37.5"
"2019-05-30T05:15:00+00:00","23.2"
"2019-05-30T05:25:00+00:00","24.7"
"2019-05-30T05:35:00+00:00","26.2000007629"
"2019-05-30T05:45:00+00:00","29.2"
"2019-05-30T05:55:00+00:00","48.9"
"2019-05-30T06:05:00+00:00","33.6"
"2019-05-30T06:15:00+00:00","25.6000003815"
"2019-05-30T06:25:00+00:00","25.7"
"2019-05-30T06:35:00+00:00","24.6000003815"
"2019-05-30T06:45:00+00:00","22.8"
"2019-05-30T06:55:00+00:00","21.3000011444"
"2019-05-30T07:05:00+00:00","21.2000007629"
"2019-05-30T07:15:00+00:00","21.2"
"2019-05-30T07:25:00+00:00","19.9"
"2019-05-30T07:35:00+00:00","20.3"
"2019-05-30T07:45:00+00:00","27.9"
"2019-05-30T07:55:00+00:00","20.3"
"2019-05-30T08:05:00+00:00","33.7999992371"
"2019-05-30T08:15:00+00:00","22.2000007629"
"2019-05-30T08:25:00+00:00","22.3999996185"
"2019-05-30T08:35:00+00:00","22.9"
"2019-05-30T08:45:00+00:00","21.8000011444"
"2019-05-30T08:55:00+00:00","18.6"
"2019-05-30T09:05:00+00:00","25.3999996185"
"2019-05-30T09:15:00+00:00","26.1000003815"
"2019-05-30T09:25:00+00:00","25.7000007629"
"2019-05-30T09:35:00+00:00","27.2000007629"
"2019-05-30T09:45:00+00:00","32"
"2019-05-30T09:55:00+00:00","29.6"
"2019-05-30T10:05:00+00:00","28"
"2019-05-30T10:15:00+00:00","39.3"
"2019-05-30T10:25:00+00:00","23.8"
"2019-05-30T10:35:00+00:00","31.8"
"2019-05-30T10:45:00+00:00","37.3"
"2019-05-30T10:55:00+00:00","34.6"
"2019-05-30T11:05:00+00:00","29"
"2019-05-30T11:15:00+00:00","25.2"
"2019-05-30T11:25:00+00:00","31.5"
"2019-05-30T11:35:00+00:00","24.1"
"2019-05-30T11:45:00+00:00","30"
"2019-05-30T11:55:00+00:00","40.5"
"2019-05-30T12:05:00+00:00","30.4"
"2019-05-30T12:15:00+00:00","29.5"
"2019-05-30T12:25:00+00:00","37.6"
"2019-05-30T12:35:00+00:00","40.5"
"2019-05-30T12:45:00+00:00","45.4"
"2019-05-30T12:55:00+00:00","48.9000015259"
"2019-05-30T13:05:00+00:00","45.6000022888"
"2019-05-30T13:15:00+00:00","43.5"
"2019-05-30T13:25:00+00:00","58.9"
"2019-05-30T13:35:00+00:00","46.2999992371"
"2019-05-30T13:45:00+00:00","55.4"
"2019-05-30T13:55:00+00:00","76.4"
"2019-05-30T14:05:00+00:00","86.3"
"2019-05-30T14:15:00+00:00","79.8000030518"
"2019-05-30T14:25:00+00:00","78.7"
"2019-05-30T14:35:00+00:00","52.6"
"2019-05-30T14:45:00+00:00","65"
"2019-05-30T14:55:00+00:00","69.5"
"2019-05-30T15:05:00+00:00","53.1"
"2019-05-30T15:15:00+00:00","54.9000015259"
"2019-05-30T15:25:00+00:00","50.2"
"2019-05-30T15:35:00+00:00","54.9"
"2019-05-30T15:45:00+00:00","53.7"
"2019-05-30T15:55:00+00:00","51.9"
"2019-05-30T16:05:00+00:00","52.2"
"2019-05-30T16:15:00+00:00","49.8"
"2019-05-30T16:25:00+00:00","62.2"
"2019-05-30T16:35:00+00:00","231.5"
"2019-05-30T16:45:00+00:00","126.5"
"2019-05-30T16:51:54+00:00","26.2000007629"
"2019-05-30T16:55:00+00:00","23.6"
"2019-05-30T17:05:00+00:00","18.1"
"2019-05-30T17:15:00+00:00","17.6"
"2019-05-30T17:25:00+00:00","16.6"
"2019-05-30T17:35:00+00:00","16.6"
"2019-05-30T17:45:00+00:00","24.3"
"2019-05-30T17:55:00+00:00","22.1000003815"
"2019-05-30T18:05:00+00:00","21"
"2019-05-30T18:15:00+00:00","23.2"
"2019-05-30T18:25:00+00:00","25.4"
"2019-05-30T18:35:00+00:00","26.3999996185"
"2019-05-30T18:45:00+00:00","29.3"
"2019-05-30T18:55:00+00:00","27.8000011444"
"2019-05-30T19:05:00+00:00","22.6"
"2019-05-30T19:15:00+00:00","23.6"
"2019-05-30T19:25:00+00:00","22"
"2019-05-30T19:35:00+00:00","21.2"
"2019-05-30T19:45:00+00:00","22.3000011444"
"2019-05-30T19:55:00+00:00","23.3"
"2019-05-30T20:05:00+00:00","22.2"
"2019-05-30T20:15:00+00:00","22.6"
"2019-05-30T20:25:00+00:00","22.8"
"2019-05-30T20:35:00+00:00","22.8"
"2019-05-30T20:45:00+00:00","23.3"
"2019-05-30T20:55:00+00:00","21.6"
"2019-05-30T21:05:00+00:00","23.4"
"2019-05-30T21:15:00+00:00","22.1"
"2019-05-30T21:25:00+00:00","24.2"
"2019-05-30T21:35:00+00:00","23.9"
"2019-05-30T21:45:00+00:00","24.3"
"2019-05-30T21:55:00+00:00","25.1"
"2019-05-30T22:05:00+00:00","23.6"
"2019-05-30T22:15:00+00:00","21.3"
"2019-05-30T22:25:00+00:00","21.5"
"2019-05-30T22:35:00+00:00","23"
"2019-05-30T22:45:00+00:00","23.2"
"2019-05-30T22:55:00+00:00","22.9"
"2019-05-30T23:05:00+00:00","28.3"
"2019-05-30T23:15:00+00:00","26.7"
"2019-05-30T23:25:00+00:00","37.4"
"2019-05-30T23:35:00+00:00","54"
"2019-05-30T23:45:00+00:00","35.5"
"2019-05-30T23:55:00+00:00","54.7999992371"
