"datetime","value"
"2019-05-29T00:05:00+00:00","33.6000022888"
"2019-05-29T00:15:00+00:00","20.6000003815"
"2019-05-29T00:25:00+00:00","20.5"
"2019-05-29T00:35:00+00:00","20.6000003815"
"2019-05-29T00:45:00+00:00","21.3999996185"
"2019-05-29T00:55:00+00:00","23.8999996185"
"2019-05-29T01:05:00+00:00","29.3999996185"
"2019-05-29T01:15:00+00:00","20.7000007629"
"2019-05-29T01:25:00+00:00","23"
"2019-05-29T01:35:00+00:00","23.3000011444"
"2019-05-29T01:45:00+00:00","23.8999996185"
"2019-05-29T01:55:00+00:00","24"
"2019-05-29T02:05:00+00:00","20.3999996185"
"2019-05-29T02:15:00+00:00","44.4000015259"
"2019-05-29T02:25:00+00:00","20.6000003815"
"2019-05-29T02:35:00+00:00","25"
"2019-05-29T02:45:00+00:00","19"
"2019-05-29T02:55:00+00:00","18.5"
"2019-05-29T03:05:00+00:00","17"
"2019-05-29T03:15:00+00:00","18.6000003815"
"2019-05-29T03:25:00+00:00","20.1000003815"
"2019-05-29T03:35:00+00:00","19.3000011444"
"2019-05-29T03:45:00+00:00","16.2000007629"
"2019-05-29T03:55:00+00:00","16.7000007629"
"2019-05-29T04:05:00+00:00","16.8999996185"
"2019-05-29T04:15:00+00:00","17.6000003815"
"2019-05-29T04:25:00+00:00","16.8999996185"
"2019-05-29T04:35:00+00:00","17.7000007629"
"2019-05-29T04:45:00+00:00","15.9000005722"
"2019-05-29T04:55:00+00:00","14.1999998093"
"2019-05-29T05:05:00+00:00","14.5"
"2019-05-29T05:15:00+00:00","15.4000005722"
"2019-05-29T05:25:00+00:00","16.5"
"2019-05-29T05:35:00+00:00","15.1999998093"
"2019-05-29T05:45:00+00:00","14.1999998093"
"2019-05-29T05:55:00+00:00","14.9000005722"
"2019-05-29T06:05:00+00:00","14.6999998093"
"2019-05-29T06:15:00+00:00","13.9000005722"
"2019-05-29T06:25:00+00:00","14.5"
"2019-05-29T06:35:00+00:00","15.6999998093"
"2019-05-29T06:45:00+00:00","16"
"2019-05-29T06:55:00+00:00","16"
"2019-05-29T07:05:00+00:00","16.5"
"2019-05-29T07:15:00+00:00","17.2000007629"
"2019-05-29T07:25:00+00:00","14.9000005722"
"2019-05-29T07:35:00+00:00","17.8999996185"
"2019-05-29T07:45:00+00:00","16.3999996185"
"2019-05-29T07:55:00+00:00","16.8000011444"
"2019-05-29T08:05:00+00:00","16.3000011444"
"2019-05-29T08:15:00+00:00","18.7000007629"
"2019-05-29T08:25:00+00:00","17.7000007629"
"2019-05-29T08:35:00+00:00","16.8999996185"
"2019-05-29T08:45:00+00:00","15.6999998093"
"2019-05-29T08:55:00+00:00","17"
"2019-05-29T09:05:00+00:00","18.3000011444"
"2019-05-29T09:15:00+00:00","18.3999996185"
"2019-05-29T09:25:00+00:00","17.5"
"2019-05-29T09:35:00+00:00","16.3000011444"
"2019-05-29T09:45:00+00:00","18.3999996185"
"2019-05-29T09:55:00+00:00","19.6000003815"
"2019-05-29T10:05:00+00:00","18.3999996185"
"2019-05-29T10:15:00+00:00","18.5"
"2019-05-29T10:25:00+00:00","18.5"
"2019-05-29T10:35:00+00:00","20.8999996185"
"2019-05-29T10:45:00+00:00","21.6000003815"
"2019-05-29T10:55:00+00:00","18.2000007629"
"2019-05-29T11:05:00+00:00","20.8000011444"
"2019-05-29T11:15:00+00:00","19.2000007629"
"2019-05-29T11:25:00+00:00","20.3"
"2019-05-29T11:35:00+00:00","20"
"2019-05-29T11:45:00+00:00","25.1000003815"
"2019-05-29T11:55:00+00:00","22"
"2019-05-29T12:05:00+00:00","22.5"
"2019-05-29T12:15:00+00:00","25.3"
"2019-05-29T12:25:00+00:00","26.3999996185"
"2019-05-29T12:35:00+00:00","24"
"2019-05-29T12:45:00+00:00","25.4"
"2019-05-29T12:55:00+00:00","27.6"
"2019-05-29T13:05:00+00:00","32.7"
"2019-05-29T13:15:00+00:00","27.7000007629"
"2019-05-29T13:25:00+00:00","33.7"
"2019-05-29T13:35:00+00:00","31.9"
"2019-05-29T13:45:00+00:00","39.9"
"2019-05-29T13:55:00+00:00","43.8"
"2019-05-29T14:05:00+00:00","41.2"
"2019-05-29T14:15:00+00:00","36.9"
"2019-05-29T14:25:00+00:00","34.2"
"2019-05-29T14:35:00+00:00","32.4"
"2019-05-29T14:45:00+00:00","30.3999996185"
"2019-05-29T14:55:00+00:00","31.1000003815"
"2019-05-29T15:05:00+00:00","35.4000015259"
"2019-05-29T15:15:00+00:00","23.6"
"2019-05-29T15:25:00+00:00","21.3"
"2019-05-29T15:35:00+00:00","19.2"
"2019-05-29T15:45:00+00:00","18"
"2019-05-29T15:55:00+00:00","19.9"
"2019-05-29T16:05:00+00:00","22.3"
"2019-05-29T16:15:00+00:00","23.3"
"2019-05-29T16:25:00+00:00","25.8"
"2019-05-29T16:35:00+00:00","27.3"
"2019-05-29T16:45:00+00:00","18"
"2019-05-29T16:55:00+00:00","16.5"
"2019-05-29T17:05:00+00:00","18.2000007629"
