"datetime","value"
"2019-04-15T00:10:00+00:00","-999"
"2019-04-15T00:17:00+00:00","-999"
"2019-04-15T00:32:00+00:00","-999"
"2019-04-15T00:39:00+00:00","-999"
"2019-04-15T00:53:00+00:00","-999"
"2019-04-15T01:00:00+00:00","-999"
"2019-04-15T01:15:00+00:00","-999"
"2019-04-15T01:22:00+00:00","-999"
"2019-04-15T01:28:00+00:00","-999"
"2019-04-15T01:35:00+00:00","-999"
"2019-04-15T01:50:00+00:00","-999"
"2019-04-15T02:05:00+00:00","-999"
"2019-04-15T02:12:00+00:00","-999"
"2019-04-15T02:19:00+00:00","-999"
"2019-04-15T02:34:00+00:00","-999"
"2019-04-15T02:46:00+00:00","-999"
"2019-04-15T02:55:00+00:00","-999"
"2019-04-15T03:02:00+00:00","-999"
"2019-04-15T03:18:00+00:00","-999"
"2019-04-15T03:32:00+00:00","-999"
"2019-04-15T03:38:00+00:00","-999"
"2019-04-15T03:45:00+00:00","-999"
"2019-04-15T04:02:00+00:00","-999"
"2019-04-15T04:15:00+00:00","-999"
"2019-04-15T04:22:00+00:00","-999"
"2019-04-15T04:29:00+00:00","-999"
"2019-04-15T04:44:00+00:00","-999"
"2019-04-15T04:51:00+00:00","-999"
"2019-04-15T05:02:00+00:00","-999"
"2019-04-15T05:06:00+00:00","-999"
"2019-04-15T05:30:00+00:00","-999"
"2019-04-15T05:39:00+00:00","-999"
"2019-04-15T05:45:00+00:00","-999"
"2019-04-15T06:02:00+00:00","-999"
"2019-04-15T06:22:00+00:00","-999"
"2019-04-15T06:39:00+00:00","-999"
"2019-04-15T06:47:00+00:00","null"
"2019-04-15T06:48:00+00:00","null"
"2019-04-15T06:49:00+00:00","null"
"2019-04-15T07:03:00+00:00","-999"
"2019-04-15T07:06:00+00:00","null"
"2019-04-15T07:07:00+00:00","null"
"2019-04-15T07:10:00+00:00","-999"
"2019-04-15T07:23:00+00:00","-999"
"2019-04-15T07:53:00+00:00","-999"
"2019-04-15T08:14:00+00:00","-999"
"2019-04-15T08:22:00+00:00","-999"
"2019-04-15T08:28:00+00:00","-999"
"2019-04-15T08:42:00+00:00","-999"
"2019-04-15T09:04:00+00:00","-999"
"2019-04-15T09:11:00+00:00","-999"
"2019-04-15T09:18:00+00:00","-999"
"2019-04-15T09:25:00+00:00","-999"
"2019-04-15T09:37:00+00:00","-999"
"2019-04-15T09:40:00+00:00","-999"
"2019-04-15T09:56:00+00:00","-999"
"2019-04-15T10:13:00+00:00","-999"
"2019-04-15T10:20:00+00:00","-999"
"2019-04-15T10:44:00+00:00","-999"
"2019-04-15T10:51:00+00:00","-999"
"2019-04-15T10:58:00+00:00","-999"
"2019-04-15T11:12:00+00:00","-999"
"2019-04-15T11:34:00+00:00","-999"
"2019-04-15T11:41:00+00:00","-999"
"2019-04-15T11:53:00+00:00","-999"
"2019-04-15T11:54:00+00:00","-999"
"2019-04-15T12:09:00+00:00","-999"
"2019-04-15T12:24:00+00:00","-999"
"2019-04-15T12:31:00+00:00","-999"
"2019-04-15T12:38:00+00:00","-999"
"2019-04-15T12:54:00+00:00","-999"
"2019-04-15T13:01:00+00:00","-999"
"2019-04-15T13:09:00+00:00","-999"
"2019-04-15T13:23:00+00:00","-999"
"2019-04-15T13:38:00+00:00","-999"
"2019-04-15T13:52:00+00:00","-999"
"2019-04-15T13:58:00+00:00","-999"
"2019-04-15T14:05:00+00:00","-999"
"2019-04-15T14:21:00+00:00","-999"
"2019-04-15T14:28:00+00:00","-999"
"2019-04-15T14:42:00+00:00","-999"
"2019-04-15T14:50:00+00:00","-999"
"2019-04-15T15:01:00+00:00","-999"
"2019-04-15T15:13:00+00:00","-999"
"2019-04-15T15:20:00+00:00","-999"
"2019-04-15T15:29:00+00:00","-999"
"2019-04-15T15:35:00+00:00","-999"
"2019-04-15T15:51:00+00:00","-999"
"2019-04-15T15:59:00+00:00","-999"
"2019-04-15T16:13:00+00:00","-999"
"2019-04-15T16:20:00+00:00","-999"
"2019-04-15T16:30:00+00:00","-999"
"2019-04-15T16:42:00+00:00","-999"
"2019-04-15T16:49:00+00:00","-999"
"2019-04-15T17:04:00+00:00","-999"
"2019-04-15T17:12:00+00:00","-999"
"2019-04-15T17:19:00+00:00","-999"
"2019-04-15T17:33:00+00:00","-999"
"2019-04-15T17:48:00+00:00","-999"
"2019-04-15T18:01:00+00:00","-999"
"2019-04-15T18:08:00+00:00","-999"
"2019-04-15T18:24:00+00:00","-999"
"2019-04-15T18:31:00+00:00","-999"
"2019-04-15T18:41:00+00:00","-999"
"2019-04-15T18:52:00+00:00","-999"
"2019-04-15T19:03:00+00:00","-999"
"2019-04-15T19:12:00+00:00","-999"
"2019-04-15T19:22:00+00:00","-999"
"2019-04-15T19:31:00+00:00","-999"
"2019-04-15T19:54:00+00:00","-999"
"2019-04-15T20:02:00+00:00","-999"
"2019-04-15T20:08:00+00:00","-999"
"2019-04-15T20:16:00+00:00","-999"
"2019-04-15T20:33:00+00:00","-999"
"2019-04-15T20:39:00+00:00","-999"
"2019-04-15T20:53:00+00:00","-999"
"2019-04-15T21:00:00+00:00","-999"
"2019-04-15T21:10:00+00:00","-999"
"2019-04-15T21:22:00+00:00","-999"
"2019-04-15T21:28:00+00:00","-999"
"2019-04-15T21:42:00+00:00","-999"
"2019-04-15T22:04:00+00:00","-999"
"2019-04-15T22:12:00+00:00","-999"
"2019-04-15T22:19:00+00:00","-999"
"2019-04-15T22:26:00+00:00","-999"
"2019-04-15T22:41:00+00:00","-999"
"2019-04-15T22:54:00+00:00","-999"
"2019-04-15T23:09:00+00:00","-999"
