"datetime","value"
"2019-06-20T00:05:00+00:00","24.9"
"2019-06-20T00:15:00+00:00","25.1"
"2019-06-20T00:25:00+00:00","25.2"
"2019-06-20T00:35:00+00:00","25.4"
"2019-06-20T00:45:00+00:00","25.5"
"2019-06-20T00:55:00+00:00","25.5"
"2019-06-20T01:05:00+00:00","25.8"
"2019-06-20T01:15:00+00:00","26.3"
"2019-06-20T01:25:00+00:00","26.4"
"2019-06-20T01:45:00+00:00","26.4"
"2019-06-20T01:55:00+00:00","26.8"
"2019-06-20T02:05:00+00:00","27.8"
"2019-06-20T02:15:00+00:00","28.5"
"2019-06-20T02:25:00+00:00","29.4"
"2019-06-20T02:35:00+00:00","29.9"
"2019-06-20T02:45:00+00:00","30.5"
"2019-06-20T02:55:00+00:00","30.8"
"2019-06-20T03:05:00+00:00","31"
"2019-06-20T03:15:00+00:00","31.5"
"2019-06-20T03:25:00+00:00","32.3"
"2019-06-20T03:35:00+00:00","33.5"
"2019-06-20T03:45:00+00:00","32.7"
"2019-06-20T03:55:00+00:00","33.5"
"2019-06-20T04:05:00+00:00","33.1"
"2019-06-20T04:15:00+00:00","33.9"
"2019-06-20T04:25:00+00:00","33.7"
"2019-06-20T04:35:00+00:00","33.9"
"2019-06-20T04:45:00+00:00","33.9"
"2019-06-20T04:55:00+00:00","33.7"
"2019-06-20T05:05:00+00:00","33.2"
"2019-06-20T05:15:00+00:00","33"
"2019-06-20T05:25:00+00:00","32.7"
"2019-06-20T05:35:00+00:00","32.2"
"2019-06-20T05:45:00+00:00","31.8"
"2019-06-20T05:55:00+00:00","31.5"
"2019-06-20T06:05:00+00:00","30.9"
"2019-06-20T06:15:00+00:00","31"
"2019-06-20T06:25:00+00:00","31.1"
"2019-06-20T06:35:00+00:00","31.4"
"2019-06-20T06:45:00+00:00","31.3"
"2019-06-20T06:55:00+00:00","31.6"
"2019-06-20T07:05:00+00:00","31.8"
"2019-06-20T07:15:00+00:00","32.1"
"2019-06-20T07:25:00+00:00","33.2"
"2019-06-20T07:35:00+00:00","33.1"
"2019-06-20T07:45:00+00:00","33.9"
"2019-06-20T07:55:00+00:00","33.6"
"2019-06-20T08:05:00+00:00","33.8"
"2019-06-20T08:15:00+00:00","34.2"
"2019-06-20T08:25:00+00:00","35"
"2019-06-20T08:45:00+00:00","35.7"
"2019-06-20T08:55:00+00:00","35.9"
"2019-06-20T09:05:00+00:00","35.6"
"2019-06-20T09:15:00+00:00","36"
"2019-06-20T09:25:00+00:00","35.6"
"2019-06-20T09:35:00+00:00","36"
"2019-06-20T09:45:00+00:00","35.4"
"2019-06-20T09:55:00+00:00","36"
"2019-06-20T10:05:00+00:00","36"
"2019-06-20T10:15:00+00:00","36.2"
"2019-06-20T10:35:00+00:00","34.8"
"2019-06-20T10:55:00+00:00","35.9"
"2019-06-20T11:05:00+00:00","35.7"
"2019-06-20T11:15:00+00:00","35.4"
"2019-06-20T11:35:00+00:00","35.1"
"2019-06-20T11:45:00+00:00","35.3"
"2019-06-20T11:55:00+00:00","35.3"
