"datetime","value"
"2019-05-27T00:00:00+00:00","324.300018311"
"2019-05-27T00:01:00+00:00","437"
"2019-05-27T00:02:00+00:00","239.600006104"
"2019-05-27T00:03:00+00:00","278.100006104"
"2019-05-27T00:04:00+00:00","275.399993896"
"2019-05-27T00:05:00+00:00","291.399993896"
"2019-05-27T00:06:00+00:00","313.399993896"
"2019-05-27T00:07:00+00:00","331.200012207"
"2019-05-27T00:08:00+00:00","317.300018311"
"2019-05-27T00:09:00+00:00","357.300018311"
"2019-05-27T00:10:00+00:00","398.200012207"
"2019-05-27T00:11:00+00:00","431.800018311"
"2019-05-27T00:12:00+00:00","432.300018311"
"2019-05-27T00:13:00+00:00","423.800018311"
"2019-05-27T00:14:00+00:00","444"
"2019-05-27T00:15:00+00:00","474.700012207"
"2019-05-27T00:16:00+00:00","449.700012207"
"2019-05-27T00:17:00+00:00","453.100006104"
"2019-05-27T00:18:00+00:00","456.300018311"
"2019-05-27T00:19:00+00:00","483.5"
"2019-05-27T00:20:00+00:00","448.399993896"
"2019-05-27T00:21:00+00:00","442.600006104"
"2019-05-27T00:22:00+00:00","454.100006104"
"2019-05-27T00:23:00+00:00","394.100006104"
"2019-05-27T00:24:00+00:00","341.200012207"
"2019-05-27T00:25:00+00:00","410.899993896"
"2019-05-27T00:26:00+00:00","414.200012207"
"2019-05-27T00:27:00+00:00","379.600006104"
"2019-05-27T00:28:00+00:00","415.100006104"
"2019-05-27T00:29:00+00:00","371.700012207"
"2019-05-27T00:30:00+00:00","318.100006104"
"2019-05-27T00:31:00+00:00","320.600006104"
"2019-05-27T00:32:00+00:00","316.899993896"
"2019-05-27T00:33:00+00:00","325.200012207"
"2019-05-27T00:34:00+00:00","391.100006104"
"2019-05-27T00:35:00+00:00","371.800018311"
"2019-05-27T00:36:00+00:00","334.100006104"
"2019-05-27T00:37:00+00:00","352.100006104"
"2019-05-27T00:38:00+00:00","311.800018311"
"2019-05-27T00:39:00+00:00","327.600006104"
"2019-05-27T00:40:00+00:00","311.200012207"
"2019-05-27T00:41:00+00:00","354.800018311"
"2019-05-27T00:42:00+00:00","428.800018311"
"2019-05-27T00:43:00+00:00","388.700012207"
"2019-05-27T00:44:00+00:00","445.800018311"
"2019-05-27T00:45:00+00:00","422.300018311"
"2019-05-27T00:46:00+00:00","493.800018311"
"2019-05-27T00:47:00+00:00","411.300018311"
"2019-05-27T00:48:00+00:00","392.100006104"
"2019-05-27T00:49:00+00:00","373"
"2019-05-27T00:50:00+00:00","370.200012207"
"2019-05-27T00:51:00+00:00","442.399993896"
"2019-05-27T00:52:00+00:00","418.700012207"
"2019-05-27T00:53:00+00:00","493.899993896"
"2019-05-27T00:54:00+00:00","438.399993896"
"2019-05-27T00:55:00+00:00","417.700012207"
"2019-05-27T00:56:00+00:00","457.700012207"
"2019-05-27T00:57:00+00:00","406.399993896"
"2019-05-27T00:58:00+00:00","383.5"
"2019-05-27T00:59:00+00:00","413.300018311"
"2019-05-27T01:00:00+00:00","418.100006104"
"2019-05-27T01:01:00+00:00","380.899993896"
"2019-05-27T01:02:00+00:00","310"
"2019-05-27T01:03:00+00:00","307.100006104"
"2019-05-27T01:04:00+00:00","323.100006104"
"2019-05-27T01:05:00+00:00","330.300018311"
"2019-05-27T01:06:00+00:00","327.899993896"
"2019-05-27T01:07:00+00:00","351.200012207"
"2019-05-27T01:08:00+00:00","347.200012207"
"2019-05-27T01:09:00+00:00","398.399993896"
"2019-05-27T01:10:00+00:00","363.700012207"
"2019-05-27T01:11:00+00:00","361.899993896"
"2019-05-27T01:12:00+00:00","350.100006104"
"2019-05-27T01:13:00+00:00","369.200012207"
"2019-05-27T01:14:00+00:00","364.399993896"
"2019-05-27T01:15:00+00:00","306.700012207"
"2019-05-27T01:16:00+00:00","279"
"2019-05-27T01:17:00+00:00","250.199996948"
"2019-05-27T01:18:00+00:00","230.5"
"2019-05-27T01:19:00+00:00","226.900009155"
"2019-05-27T01:20:00+00:00","235.100006104"
"2019-05-27T01:21:00+00:00","317.700012207"
"2019-05-27T01:22:00+00:00","268.399993896"
"2019-05-27T01:23:00+00:00","224.900009155"
"2019-05-27T01:24:00+00:00","243.100006104"
"2019-05-27T01:25:00+00:00","234.400009155"
"2019-05-27T01:26:00+00:00","210.900009155"
"2019-05-27T01:27:00+00:00","216"
"2019-05-27T01:28:00+00:00","224"
"2019-05-27T01:29:00+00:00","203.600006104"
"2019-05-27T01:30:00+00:00","215.100006104"
"2019-05-27T01:31:00+00:00","206.300003052"
"2019-05-27T01:32:00+00:00","197.800003052"
"2019-05-27T01:33:00+00:00","203.800003052"
"2019-05-27T01:34:00+00:00","188"
"2019-05-27T01:35:00+00:00","226.900009155"
"2019-05-27T01:36:00+00:00","238.5"
"2019-05-27T01:37:00+00:00","221.5"
"2019-05-27T01:38:00+00:00","242.300003052"
"2019-05-27T01:39:00+00:00","220.800003052"
"2019-05-27T01:40:00+00:00","269.700012207"
"2019-05-27T01:41:00+00:00","232.5"
"2019-05-27T01:42:00+00:00","217.300003052"
"2019-05-27T01:43:00+00:00","227.199996948"
"2019-05-27T01:44:00+00:00","274.200012207"
"2019-05-27T01:45:00+00:00","343.600006104"
"2019-05-27T01:46:00+00:00","321.899993896"
"2019-05-27T01:47:00+00:00","242.699996948"
"2019-05-27T01:48:00+00:00","257.200012207"
"2019-05-27T01:49:00+00:00","259.700012207"
"2019-05-27T01:50:00+00:00","265.899993896"
"2019-05-27T01:51:00+00:00","220.800003052"
"2019-05-27T01:52:00+00:00","231"
"2019-05-27T01:53:00+00:00","213.699996948"
"2019-05-27T01:54:00+00:00","241.900009155"
"2019-05-27T01:55:00+00:00","270.399993896"
"2019-05-27T01:56:00+00:00","331.600006104"
