"datetime","value"
"2019-07-08T06:15:00+00:00","17.7"
"2019-07-08T07:15:00+00:00","12.8"
"2019-07-08T08:15:00+00:00","10.4"
"2019-07-08T09:15:00+00:00","10.2"
"2019-07-08T10:15:00+00:00","10.1"
"2019-07-08T11:15:00+00:00","11"
"2019-07-08T12:15:00+00:00","9.5"
"2019-07-08T13:15:00+00:00","13.7"
"2019-07-08T14:15:00+00:00","17.8"
"2019-07-08T15:15:00+00:00","17.4"
"2019-07-08T16:15:00+00:00","17.2"
"2019-07-08T17:15:00+00:00","15.6"
"2019-07-08T18:15:00+00:00","12.3"
"2019-07-08T19:15:00+00:00","11.1"
"2019-07-08T20:15:00+00:00","9"
"2019-07-08T21:15:00+00:00","6.5"
"2019-07-08T22:15:00+00:00","4.7"
"2019-07-08T23:15:00+00:00","2.8"
