"datetime","value"
"2019-06-23T00:05:00+00:00","21.2000007629"
"2019-06-23T00:15:00+00:00","21.2"
"2019-06-23T00:25:00+00:00","21.3"
"2019-06-23T00:35:00+00:00","21.3"
"2019-06-23T00:45:00+00:00","21.3"
"2019-06-23T00:55:00+00:00","21.2999992371"
"2019-06-23T01:05:00+00:00","21.2"
"2019-06-23T01:15:00+00:00","21.2"
"2019-06-23T01:25:00+00:00","21.2"
"2019-06-23T01:35:00+00:00","21.2"
"2019-06-23T01:45:00+00:00","21.3"
"2019-06-23T01:55:00+00:00","21.3"
"2019-06-23T02:05:00+00:00","21.3"
"2019-06-23T02:15:00+00:00","21.4"
"2019-06-23T02:25:00+00:00","21.3999996185"
"2019-06-23T02:35:00+00:00","21.3"
"2019-06-23T02:45:00+00:00","21.3"
"2019-06-23T02:55:00+00:00","21.2999992371"
"2019-06-23T03:05:00+00:00","21.3"
"2019-06-23T03:15:00+00:00","21.4"
"2019-06-23T03:25:00+00:00","21.3"
"2019-06-23T03:35:00+00:00","21.5"
"2019-06-23T03:45:00+00:00","21.7"
"2019-06-23T03:55:00+00:00","21.7999992371"
"2019-06-23T04:05:00+00:00","22"
"2019-06-23T04:15:00+00:00","22"
"2019-06-23T04:25:00+00:00","22"
"2019-06-23T04:35:00+00:00","21.9"
"2019-06-23T04:45:00+00:00","22"
"2019-06-23T04:54:58+00:00","22.2000007629"
"2019-06-23T05:04:58+00:00","22.3"
"2019-06-23T05:14:58+00:00","22.3"
"2019-06-23T05:24:58+00:00","22.5"
"2019-06-23T05:34:58+00:00","22.6"
"2019-06-23T05:44:58+00:00","23.1"
"2019-06-23T05:54:58+00:00","23.3"
"2019-06-23T06:04:58+00:00","23.8"
"2019-06-23T06:14:58+00:00","24.6"
"2019-06-23T06:24:58+00:00","24.8"
"2019-06-23T06:34:58+00:00","24.8"
"2019-06-23T06:44:58+00:00","25.5"
"2019-06-23T06:54:58+00:00","26.2000007629"
"2019-06-23T07:04:58+00:00","26.6"
"2019-06-23T07:14:58+00:00","26.8"
"2019-06-23T07:24:58+00:00","27.2"
"2019-06-23T07:34:58+00:00","27.9"
"2019-06-23T07:44:58+00:00","28"
"2019-06-23T07:54:58+00:00","28.3"
"2019-06-23T08:04:58+00:00","28.2"
"2019-06-23T08:14:58+00:00","28.3"
"2019-06-23T08:24:58+00:00","28.9"
"2019-06-23T08:34:58+00:00","29"
"2019-06-23T08:44:58+00:00","29.4"
"2019-06-23T08:54:58+00:00","29.6"
"2019-06-23T09:04:58+00:00","29.8"
"2019-06-23T09:14:58+00:00","30.1"
"2019-06-23T09:24:58+00:00","30.8"
"2019-06-23T09:34:58+00:00","30.6"
"2019-06-23T09:44:58+00:00","31.1"
"2019-06-23T09:54:58+00:00","30.5"
"2019-06-23T10:04:58+00:00","30.8"
"2019-06-23T10:14:58+00:00","30.9"
"2019-06-23T10:24:58+00:00","30.8"
"2019-06-23T10:34:58+00:00","30.8"
"2019-06-23T10:44:58+00:00","30.8"
"2019-06-23T10:54:58+00:00","30.5"
"2019-06-23T11:04:58+00:00","30.4"
"2019-06-23T11:14:58+00:00","30.9"
"2019-06-23T11:24:58+00:00","30.3"
"2019-06-23T11:34:58+00:00","30.3"
"2019-06-23T11:44:58+00:00","30.1"
"2019-06-23T11:54:58+00:00","30.2000007629"
"2019-06-23T12:04:58+00:00","30.2"
"2019-06-23T12:14:58+00:00","30"
"2019-06-23T12:24:58+00:00","29.8"
"2019-06-23T12:34:58+00:00","29.3999996185"
"2019-06-23T12:44:58+00:00","29.4"
"2019-06-23T12:54:58+00:00","29.2999992371"
"2019-06-23T13:04:58+00:00","28.9"
"2019-06-23T13:14:58+00:00","28.7"
"2019-06-23T13:24:58+00:00","28.2999992371"
"2019-06-23T13:34:58+00:00","27.7"
"2019-06-23T13:44:58+00:00","27.2000007629"
"2019-06-23T13:54:58+00:00","27.2"
"2019-06-23T14:04:58+00:00","27.2"
"2019-06-23T14:14:58+00:00","27"
"2019-06-23T14:24:58+00:00","26.9"
"2019-06-23T14:34:58+00:00","26.7"
"2019-06-23T14:44:58+00:00","26.6000003815"
"2019-06-23T14:54:58+00:00","26.5"
"2019-06-23T15:04:58+00:00","26.4"
"2019-06-23T15:14:58+00:00","26.2"
"2019-06-23T15:24:58+00:00","25.9"
"2019-06-23T15:34:58+00:00","25.7"
"2019-06-23T15:44:58+00:00","25.6"
"2019-06-23T15:54:58+00:00","25.6"
"2019-06-23T16:04:58+00:00","25.4"
"2019-06-23T16:14:58+00:00","25.5"
"2019-06-23T16:24:58+00:00","25.5"
"2019-06-23T16:34:58+00:00","25.3"
"2019-06-23T16:44:58+00:00","25.2"
"2019-06-23T16:54:56+00:00","25.1"
"2019-06-23T17:04:56+00:00","25"
"2019-06-23T17:14:56+00:00","24.9"
"2019-06-23T17:24:56+00:00","24.9"
"2019-06-23T17:34:56+00:00","24.7"
"2019-06-23T17:44:56+00:00","24.7"
"2019-06-23T17:54:56+00:00","24.7000007629"
"2019-06-23T18:04:56+00:00","24.6"
"2019-06-23T18:14:56+00:00","24.5"
"2019-06-23T18:24:56+00:00","24.5"
"2019-06-23T18:34:56+00:00","24.5"
"2019-06-23T18:44:56+00:00","24.3"
"2019-06-23T18:54:56+00:00","24.2"
"2019-06-23T19:04:56+00:00","24.2"
"2019-06-23T19:14:56+00:00","24.2"
"2019-06-23T19:24:56+00:00","24.2"
"2019-06-23T19:34:56+00:00","24.3"
"2019-06-23T19:44:56+00:00","24.2999992371"
"2019-06-23T19:54:56+00:00","24.2000007629"
"2019-06-23T20:04:56+00:00","24.5"
"2019-06-23T20:14:56+00:00","24.5"
"2019-06-23T20:24:56+00:00","24.5"
"2019-06-23T20:34:56+00:00","24.3"
"2019-06-23T20:44:56+00:00","24.2"
"2019-06-23T20:54:56+00:00","24.2000007629"
"2019-06-23T21:04:56+00:00","24.2"
"2019-06-23T21:14:56+00:00","24.2000007629"
"2019-06-23T21:24:56+00:00","24.2"
"2019-06-23T21:34:56+00:00","24.1"
"2019-06-23T21:44:56+00:00","24.2"
"2019-06-23T21:54:56+00:00","24.1000003815"
"2019-06-23T22:04:56+00:00","24.2"
"2019-06-23T22:14:56+00:00","24.3"
"2019-06-23T22:24:56+00:00","24.2"
"2019-06-23T22:34:56+00:00","24.1"
"2019-06-23T22:44:56+00:00","24"
"2019-06-23T22:54:56+00:00","24.1000003815"
