"datetime","value"
"2019-04-24T00:00:56+00:00","46.7000007629"
"2019-04-24T00:01:56+00:00","50.7999992371"
"2019-04-24T00:02:56+00:00","36.7999992371"
"2019-04-24T00:03:56+00:00","19"
"2019-04-24T00:04:56+00:00","0"
"2019-04-24T00:05:56+00:00","0"
"2019-04-24T00:06:56+00:00","0"
"2019-04-24T00:07:56+00:00","0"
"2019-04-24T00:08:56+00:00","183"
"2019-04-24T00:09:56+00:00","185.699996948"
"2019-04-24T00:10:56+00:00","0"
"2019-04-24T00:11:56+00:00","0"
"2019-04-24T00:12:56+00:00","0"
"2019-04-24T00:13:56+00:00","0"
"2019-04-24T00:14:56+00:00","0"
"2019-04-24T00:15:56+00:00","0"
"2019-04-24T00:16:56+00:00","0"
"2019-04-24T00:17:56+00:00","198.800003052"
"2019-04-24T00:18:56+00:00","206.699996948"
"2019-04-24T00:19:56+00:00","0"
"2019-04-24T00:20:56+00:00","0"
"2019-04-24T00:21:56+00:00","0"
"2019-04-24T00:22:56+00:00","0"
"2019-04-24T00:23:56+00:00","0"
"2019-04-24T00:24:56+00:00","203.199996948"
"2019-04-24T00:25:56+00:00","0"
"2019-04-24T00:26:56+00:00","0"
"2019-04-24T00:27:56+00:00","224.699996948"
"2019-04-24T00:28:56+00:00","0"
"2019-04-24T00:29:56+00:00","0"
"2019-04-24T00:30:56+00:00","0"
"2019-04-24T00:31:56+00:00","0"
"2019-04-24T00:32:56+00:00","0"
"2019-04-24T00:33:56+00:00","0"
"2019-04-24T00:34:56+00:00","0"
"2019-04-24T00:35:56+00:00","0"
"2019-04-24T00:36:56+00:00","0"
"2019-04-24T00:37:56+00:00","0"
"2019-04-24T00:38:56+00:00","0"
"2019-04-24T00:39:56+00:00","0"
"2019-04-24T00:40:56+00:00","0"
"2019-04-24T00:41:56+00:00","342.600006104"
"2019-04-24T00:42:56+00:00","339.200012207"
"2019-04-24T00:43:56+00:00","341.700012207"
"2019-04-24T00:44:56+00:00","0"
"2019-04-24T00:45:56+00:00","348.799987793"
"2019-04-24T00:46:56+00:00","355.200012207"
"2019-04-24T00:47:56+00:00","357.100006104"
"2019-04-24T00:48:56+00:00","358.600006104"
"2019-04-24T00:49:56+00:00","340.5"
"2019-04-24T00:50:56+00:00","20.5"
"2019-04-24T00:51:56+00:00","34.5"
"2019-04-24T00:52:56+00:00","39"
"2019-04-24T00:53:56+00:00","0"
"2019-04-24T00:54:56+00:00","0"
"2019-04-24T00:55:56+00:00","77.5999984741"
"2019-04-24T00:56:56+00:00","69.5999984741"
"2019-04-24T00:57:56+00:00","68.3000030518"
"2019-04-24T00:58:56+00:00","72.8000030518"
"2019-04-24T00:59:56+00:00","77.3000030518"
"2019-04-24T01:00:56+00:00","89.5999984741"
"2019-04-24T01:01:56+00:00","32.7999992371"
"2019-04-24T01:02:56+00:00","35.7000007629"
"2019-04-24T01:03:56+00:00","85.4000015259"
"2019-04-24T01:04:56+00:00","63.2000007629"
"2019-04-24T01:05:56+00:00","88.8000030518"
"2019-04-24T01:06:56+00:00","61"
"2019-04-24T01:07:56+00:00","71.3000030518"
"2019-04-24T01:08:56+00:00","57"
"2019-04-24T01:09:56+00:00","0"
"2019-04-24T01:10:56+00:00","0"
"2019-04-24T01:11:56+00:00","0"
"2019-04-24T01:12:56+00:00","0"
"2019-04-24T01:13:56+00:00","0"
"2019-04-24T01:14:56+00:00","0"
"2019-04-24T01:15:56+00:00","0"
"2019-04-24T01:16:56+00:00","0"
"2019-04-24T01:17:56+00:00","111.699996948"
"2019-04-24T01:18:56+00:00","0"
"2019-04-24T01:19:56+00:00","0"
"2019-04-24T01:20:56+00:00","96.6999969482"
"2019-04-24T01:21:56+00:00","103.599998474"
"2019-04-24T01:22:56+00:00","88.0999984741"
"2019-04-24T01:23:56+00:00","134.199996948"
