"datetime","value"
"2019-07-05T00:02:00+00:00","17"
"2019-07-05T00:03:00+00:00","14"
"2019-07-05T00:05:00+00:00","6"
"2019-07-05T00:06:00+00:00","12"
"2019-07-05T00:09:00+00:00","88"
"2019-07-05T00:11:00+00:00","40"
"2019-07-05T00:14:00+00:00","95"
"2019-07-05T00:18:00+00:00","75"
"2019-07-05T00:21:00+00:00","153"
"2019-07-05T00:23:00+00:00","29"
"2019-07-05T00:29:00+00:00","10"
"2019-07-05T00:30:04+00:00","37"
"2019-07-05T00:40:12+00:00","54"
"2019-07-05T00:42:00+00:00","0"
"2019-07-05T00:44:00+00:00","66"
"2019-07-05T00:47:00+00:00","66"
"2019-07-05T00:49:00+00:00","78"
"2019-07-05T00:54:00+00:00","37"
"2019-07-05T00:57:00+00:00","48"
"2019-07-05T00:58:00+00:00","98"
"2019-07-05T01:00:00+00:00","82"
"2019-07-05T01:00:26+00:00","82"
"2019-07-05T01:02:00+00:00","1"
"2019-07-05T01:06:00+00:00","94"
"2019-07-05T01:08:00+00:00","50"
"2019-07-05T01:10:00+00:00","40"
"2019-07-05T01:10:32+00:00","40"
"2019-07-05T01:12:00+00:00","118"
"2019-07-05T01:15:00+00:00","11"
"2019-07-05T01:16:00+00:00","17"
"2019-07-05T01:17:00+00:00","30"
"2019-07-05T01:19:00+00:00","13"
"2019-07-05T01:20:00+00:00","49"
"2019-07-05T01:20:40+00:00","49"
"2019-07-05T01:21:00+00:00","54"
"2019-07-05T01:23:00+00:00","9"
"2019-07-05T01:25:00+00:00","64"
"2019-07-05T01:26:00+00:00","50"
"2019-07-05T01:27:00+00:00","2"
"2019-07-05T01:28:00+00:00","38"
"2019-07-05T01:30:00+00:00","8"
"2019-07-05T01:30:46+00:00","49"
"2019-07-05T01:33:00+00:00","56"
"2019-07-05T01:35:00+00:00","23"
"2019-07-05T01:38:00+00:00","70"
"2019-07-05T01:39:00+00:00","10"
"2019-07-05T01:40:00+00:00","15"
"2019-07-05T02:07:00+00:00","3"
"2019-07-05T02:08:00+00:00","63"
"2019-07-05T02:11:00+00:00","58"
"2019-07-05T02:12:00+00:00","68"
"2019-07-05T02:14:00+00:00","21"
"2019-07-05T02:15:48+00:00","24"
"2019-07-05T02:18:00+00:00","92"
"2019-07-05T02:19:00+00:00","1"
"2019-07-05T02:21:00+00:00","36"
"2019-07-05T02:22:00+00:00","29"
"2019-07-05T02:24:00+00:00","27"
"2019-07-05T02:27:00+00:00","39"
