"datetime","value"
"2019-04-13T18:15:00+00:00","38.5999984741"
"2019-04-13T18:16:00+00:00","39.7999992371"
"2019-04-13T18:16:58+00:00","39.7000007629"
"2019-04-13T18:18:00+00:00","36.9000015259"
"2019-04-13T18:19:00+00:00","38.2000007629"
"2019-04-13T18:20:00+00:00","38.7999992371"
"2019-04-13T18:21:00+00:00","37.0999984741"
"2019-04-13T18:22:00+00:00","38.9000015259"
"2019-04-13T18:23:00+00:00","36.9000015259"
"2019-04-13T18:24:00+00:00","40.2000007629"
"2019-04-13T18:25:00+00:00","39.5"
"2019-04-13T18:26:00+00:00","37.7999992371"
"2019-04-13T18:27:00+00:00","35.0999984741"
"2019-04-13T18:28:00+00:00","37.2000007629"
"2019-04-13T18:29:00+00:00","35.7999992371"
"2019-04-13T18:30:00+00:00","33.5999984741"
"2019-04-13T18:31:00+00:00","35.0999984741"
"2019-04-13T18:32:00+00:00","34.4000015259"
"2019-04-13T18:32:24+00:00","35.5999984741"
"2019-04-13T18:33:00+00:00","35.5999984741"
"2019-04-13T18:34:00+00:00","36.0999984741"
"2019-04-13T18:35:00+00:00","36.7999992371"
"2019-04-13T18:36:00+00:00","37.7000007629"
"2019-04-13T18:37:00+00:00","37"
"2019-04-13T18:38:00+00:00","35.4000015259"
"2019-04-13T18:39:00+00:00","36.2999992371"
"2019-04-13T18:40:00+00:00","35.7000007629"
"2019-04-13T18:41:00+00:00","36.7000007629"
"2019-04-13T18:42:00+00:00","36.2999992371"
"2019-04-13T18:43:00+00:00","36.5999984741"
"2019-04-13T18:44:00+00:00","35.0999984741"
"2019-04-13T18:45:00+00:00","36"
"2019-04-13T18:46:00+00:00","35.2000007629"
"2019-04-13T18:47:00+00:00","38"
"2019-04-13T18:48:00+00:00","36.7999992371"
"2019-04-13T18:49:00+00:00","36.5999984741"
"2019-04-13T18:50:00+00:00","40.2000007629"
"2019-04-13T18:51:00+00:00","47.0999984741"
"2019-04-13T18:52:00+00:00","45.9000015259"
"2019-04-13T18:53:00+00:00","46.7999992371"
"2019-04-13T18:54:00+00:00","47.5999984741"
"2019-04-13T18:55:00+00:00","48.7999992371"
"2019-04-13T18:56:00+00:00","47.0999984741"
"2019-04-13T18:57:00+00:00","46.7999992371"
"2019-04-13T18:58:00+00:00","47.2999992371"
"2019-04-13T18:59:00+00:00","47.7999992371"
"2019-04-13T19:00:00+00:00","48.5"
"2019-04-13T19:01:00+00:00","54.4000015259"
"2019-04-13T19:02:00+00:00","54.2999992371"
"2019-04-13T19:03:00+00:00","52.2999992371"
"2019-04-13T19:03:22+00:00","52.2999992371"
"2019-04-13T19:04:00+00:00","51.0999984741"
"2019-04-13T19:05:00+00:00","53"
"2019-04-13T19:06:00+00:00","57.2999992371"
"2019-04-13T19:07:00+00:00","54.7000007629"
"2019-04-13T19:08:00+00:00","63"
"2019-04-13T19:09:00+00:00","56.7000007629"
"2019-04-13T19:10:00+00:00","53.2999992371"
"2019-04-13T19:11:00+00:00","55.5"
"2019-04-13T19:12:00+00:00","52"
"2019-04-13T19:13:00+00:00","53.2000007629"
"2019-04-13T19:14:00+00:00","53.5999984741"
"2019-04-13T19:15:00+00:00","53.7000007629"
"2019-04-13T19:16:00+00:00","54.4000015259"
"2019-04-13T19:17:00+00:00","53.0999984741"
"2019-04-13T19:18:00+00:00","51.2999992371"
"2019-04-13T19:19:00+00:00","49.5999984741"
"2019-04-13T19:20:00+00:00","50.7000007629"
"2019-04-13T19:21:00+00:00","49.2999992371"
"2019-04-13T19:22:00+00:00","47"
"2019-04-13T19:23:00+00:00","51.7000007629"
"2019-04-13T19:24:00+00:00","48.2999992371"
"2019-04-13T19:25:00+00:00","45.4000015259"
"2019-04-13T19:26:00+00:00","45.5"
"2019-04-13T19:27:00+00:00","46.5"
"2019-04-13T19:28:00+00:00","44.9000015259"
"2019-04-13T19:29:00+00:00","45.5999984741"
"2019-04-13T19:30:00+00:00","46.2000007629"
"2019-04-13T19:31:00+00:00","47.2000007629"
"2019-04-13T19:32:00+00:00","45.0999984741"
"2019-04-13T19:33:00+00:00","49.5999984741"
"2019-04-13T19:34:00+00:00","51.4000015259"
"2019-04-13T19:34:18+00:00","51.4000015259"
"2019-04-13T19:35:00+00:00","49.7999992371"
"2019-04-13T19:36:00+00:00","50.7000007629"
"2019-04-13T19:37:00+00:00","52.5"
"2019-04-13T19:38:00+00:00","52.2999992371"
"2019-04-13T19:39:00+00:00","53.2999992371"
"2019-04-13T19:40:00+00:00","52.2000007629"
"2019-04-13T19:41:00+00:00","51.2999992371"
"2019-04-13T19:42:00+00:00","50.7000007629"
"2019-04-13T19:43:00+00:00","49.9000015259"
"2019-04-13T19:44:00+00:00","52"
"2019-04-13T19:45:00+00:00","52.5"
"2019-04-13T19:46:00+00:00","51.5"
"2019-04-13T19:47:00+00:00","51.9000015259"
"2019-04-13T19:48:00+00:00","52"
"2019-04-13T19:49:00+00:00","51.7999992371"
"2019-04-13T19:50:00+00:00","49.0999984741"
"2019-04-13T19:51:00+00:00","50.5999984741"
"2019-04-13T19:52:00+00:00","51.2999992371"
"2019-04-13T19:53:00+00:00","50.7999992371"
"2019-04-13T19:54:00+00:00","54.7000007629"
"2019-04-13T19:55:00+00:00","52.7000007629"
"2019-04-13T19:56:00+00:00","50.7000007629"
"2019-04-13T19:57:00+00:00","50.7000007629"
"2019-04-13T19:58:00+00:00","50.5999984741"
"2019-04-13T19:59:00+00:00","49.7999992371"
"2019-04-14T17:54:00+00:00","null"
"2019-04-14T22:46:00+00:00","null"
"2019-04-14T23:13:00+00:00","null"
"2019-04-14T23:17:00+00:00","null"
"2019-04-15T00:05:00+00:00","null"
"2019-04-15T04:35:00+00:00","null"
