"datetime","value"
"2019-06-23T00:05:00+00:00","4.30000019073"
"2019-06-23T00:15:00+00:00","4.3"
"2019-06-23T00:25:00+00:00","4.5"
"2019-06-23T00:35:00+00:00","4.6"
"2019-06-23T00:45:00+00:00","4.7"
"2019-06-23T00:55:00+00:00","5.1"
"2019-06-23T01:05:00+00:00","4.8"
"2019-06-23T01:15:00+00:00","4.9"
"2019-06-23T01:25:00+00:00","4.6"
"2019-06-23T01:35:00+00:00","4.7"
"2019-06-23T01:45:00+00:00","4.8"
"2019-06-23T01:55:00+00:00","5.5"
"2019-06-23T02:05:00+00:00","5.3"
"2019-06-23T02:15:00+00:00","5.6"
"2019-06-23T02:25:00+00:00","5.9"
"2019-06-23T02:35:00+00:00","5.8"
"2019-06-23T02:45:00+00:00","5.8"
"2019-06-23T02:55:00+00:00","6.4"
"2019-06-23T03:05:00+00:00","7"
"2019-06-23T03:15:00+00:00","7.3"
"2019-06-23T03:25:00+00:00","7.8"
"2019-06-23T03:35:00+00:00","7.1"
"2019-06-23T03:45:00+00:00","11.2"
"2019-06-23T03:55:00+00:00","8.8"
"2019-06-23T04:05:00+00:00","7.4"
"2019-06-23T04:15:00+00:00","8.6"
"2019-06-23T04:25:00+00:00","10"
"2019-06-23T04:35:00+00:00","13.6"
"2019-06-23T04:45:00+00:00","12.6"
"2019-06-23T04:55:00+00:00","8.8"
"2019-06-23T05:05:00+00:00","9.3"
"2019-06-23T05:15:00+00:00","15"
"2019-06-23T05:25:00+00:00","14.5"
"2019-06-23T05:35:00+00:00","11.9"
"2019-06-23T05:45:00+00:00","9.8"
"2019-06-23T05:55:00+00:00","9.5"
"2019-06-23T06:05:00+00:00","9.3"
"2019-06-23T06:15:00+00:00","9.2"
"2019-06-23T06:25:00+00:00","8"
"2019-06-23T06:35:00+00:00","9.6"
"2019-06-23T06:45:00+00:00","8.4"
"2019-06-23T06:55:00+00:00","9.6"
"2019-06-23T07:05:00+00:00","9"
"2019-06-23T07:15:00+00:00","11.1"
"2019-06-23T07:25:00+00:00","9.7"
"2019-06-23T07:35:00+00:00","9.2"
"2019-06-23T07:45:00+00:00","8.1"
"2019-06-23T07:55:00+00:00","9.8"
"2019-06-23T08:05:00+00:00","8.5"
"2019-06-23T08:15:00+00:00","8.5"
"2019-06-23T08:25:00+00:00","8.7"
"2019-06-23T08:35:00+00:00","7.7"
"2019-06-23T08:45:00+00:00","7.2"
"2019-06-23T08:55:00+00:00","7.2"
"2019-06-23T09:05:00+00:00","7.3"
"2019-06-23T09:15:00+00:00","7.4"
"2019-06-23T09:25:00+00:00","7"
"2019-06-23T09:35:00+00:00","7.3"
"2019-06-23T09:45:00+00:00","7.6"
"2019-06-23T09:55:00+00:00","7.7"
"2019-06-23T10:05:00+00:00","8.5"
"2019-06-23T10:15:00+00:00","8.1"
"2019-06-23T10:25:00+00:00","7.5"
"2019-06-23T10:35:00+00:00","8.1"
"2019-06-23T10:45:00+00:00","7.7"
"2019-06-23T10:55:00+00:00","8.5"
"2019-06-23T11:05:00+00:00","8.1"
"2019-06-23T11:15:00+00:00","8.3"
"2019-06-23T11:25:00+00:00","8.2"
"2019-06-23T11:35:00+00:00","8"
"2019-06-23T11:45:00+00:00","7.8"
"2019-06-23T11:55:00+00:00","7.3"
"2019-06-23T12:05:00+00:00","8.3"
"2019-06-23T12:15:00+00:00","8.4000005722"
"2019-06-23T12:25:00+00:00","7.5"
"2019-06-23T12:35:00+00:00","7.6"
"2019-06-23T12:45:00+00:00","7.1"
"2019-06-23T12:55:00+00:00","7.6"
"2019-06-23T13:05:00+00:00","7.5"
"2019-06-23T13:15:00+00:00","7.5"
"2019-06-23T13:25:00+00:00","7.9"
"2019-06-23T13:35:00+00:00","8.4"
"2019-06-23T13:45:00+00:00","7.8"
"2019-06-23T13:55:00+00:00","7.8"
"2019-06-23T14:05:00+00:00","7.1"
"2019-06-23T14:15:00+00:00","7.1"
"2019-06-23T14:25:00+00:00","7"
"2019-06-23T14:35:00+00:00","7.1"
"2019-06-23T14:45:00+00:00","6.7"
"2019-06-23T14:55:00+00:00","7.3"
"2019-06-23T15:05:00+00:00","7.4"
"2019-06-23T15:15:00+00:00","8.8"
"2019-06-23T15:25:00+00:00","8.7"
"2019-06-23T15:35:00+00:00","10.2"
"2019-06-23T15:45:00+00:00","9.3"
"2019-06-23T15:55:00+00:00","9"
"2019-06-23T16:05:00+00:00","8.7"
