"datetime","value"
"2019-07-16T00:05:00+00:00","7.59999990463"
"2019-07-16T00:15:00+00:00","8"
"2019-07-16T00:25:00+00:00","7.4"
"2019-07-16T00:35:00+00:00","7.4"
"2019-07-16T00:45:00+00:00","7.4"
"2019-07-16T00:55:00+00:00","8.3"
"2019-07-16T01:05:00+00:00","7.3"
"2019-07-16T01:15:00+00:00","7.9"
"2019-07-16T01:25:00+00:00","7.90000009537"
"2019-07-16T01:35:00+00:00","8.2"
"2019-07-16T01:45:00+00:00","8.8"
"2019-07-16T01:55:00+00:00","9"
"2019-07-16T02:05:00+00:00","8.6"
"2019-07-16T02:15:00+00:00","9"
"2019-07-16T02:25:00+00:00","8.7"
"2019-07-16T02:35:00+00:00","8.9"
"2019-07-16T02:45:00+00:00","8.4"
"2019-07-16T02:55:00+00:00","10.5"
"2019-07-16T03:05:00+00:00","8.2"
"2019-07-16T03:15:00+00:00","9.3"
"2019-07-16T03:25:00+00:00","9.7"
"2019-07-16T03:35:00+00:00","10"
"2019-07-16T03:45:00+00:00","11.6"
"2019-07-16T03:55:00+00:00","10.6999998093"
"2019-07-16T04:05:00+00:00","11.3"
"2019-07-16T04:15:00+00:00","11.8"
"2019-07-16T04:25:00+00:00","11.4"
"2019-07-16T04:35:00+00:00","11.3"
"2019-07-16T04:45:00+00:00","12.4"
"2019-07-16T04:55:00+00:00","11.9"
"2019-07-16T05:05:00+00:00","12.4"
"2019-07-16T05:15:00+00:00","12.9"
"2019-07-16T05:25:00+00:00","13.8"
"2019-07-16T05:35:00+00:00","14.6000003815"
"2019-07-16T05:45:00+00:00","19.9"
"2019-07-16T05:55:00+00:00","17.8"
"2019-07-16T06:05:00+00:00","16"
"2019-07-16T06:15:00+00:00","14.3"
"2019-07-16T06:25:00+00:00","15.4"
"2019-07-16T06:35:00+00:00","14.1"
"2019-07-16T06:45:00+00:00","14.2"
"2019-07-16T06:55:00+00:00","13.5"
"2019-07-16T07:05:00+00:00","13.9"
"2019-07-16T07:15:00+00:00","13.4"
"2019-07-16T07:25:00+00:00","12.6"
"2019-07-16T07:35:00+00:00","16.7"
"2019-07-16T07:45:00+00:00","14.6"
"2019-07-16T07:55:00+00:00","14.9"
"2019-07-16T08:05:00+00:00","15.1"
"2019-07-16T08:15:00+00:00","15.5"
"2019-07-16T08:25:00+00:00","15.7"
"2019-07-16T08:35:00+00:00","18.4"
"2019-07-16T08:45:00+00:00","15.5"
"2019-07-16T08:55:00+00:00","14.7"
"2019-07-16T09:05:00+00:00","13.3"
"2019-07-16T09:15:00+00:00","12.1"
"2019-07-16T09:25:00+00:00","11.2"
"2019-07-16T09:35:00+00:00","11.1"
"2019-07-16T09:45:00+00:00","12.1"
"2019-07-16T09:55:00+00:00","11.6"
"2019-07-16T10:05:00+00:00","11.3"
"2019-07-16T10:15:00+00:00","12"
"2019-07-16T10:25:00+00:00","10.5"
"2019-07-16T10:35:00+00:00","10.4"
"2019-07-16T10:45:00+00:00","10.1"
"2019-07-16T10:55:00+00:00","10.6"
"2019-07-16T11:05:00+00:00","10.3"
"2019-07-16T11:15:00+00:00","10"
"2019-07-16T11:25:00+00:00","9.7"
"2019-07-16T11:35:00+00:00","9.5"
"2019-07-16T11:45:00+00:00","10.5"
"2019-07-16T11:55:00+00:00","10.8"
"2019-07-16T12:05:00+00:00","10.7"
"2019-07-16T12:15:00+00:00","10.4"
"2019-07-16T12:25:00+00:00","10.6"
"2019-07-16T12:35:00+00:00","9.3"
"2019-07-16T12:45:00+00:00","9.7"
"2019-07-16T12:55:00+00:00","10.7"
"2019-07-16T13:05:00+00:00","11.2"
"2019-07-16T13:15:00+00:00","8.8"
"2019-07-16T13:25:00+00:00","9.9"
"2019-07-16T13:35:00+00:00","10"
"2019-07-16T13:45:00+00:00","9.5"
"2019-07-16T13:55:00+00:00","10.3"
"2019-07-16T14:05:00+00:00","10.7"
"2019-07-16T14:15:00+00:00","10.5"
"2019-07-16T14:25:00+00:00","10.7"
"2019-07-16T14:35:00+00:00","11.3"
"2019-07-16T14:45:00+00:00","11"
"2019-07-16T14:55:00+00:00","12.3"
"2019-07-16T15:05:00+00:00","11.6"
"2019-07-16T15:15:00+00:00","11.2"
"2019-07-16T15:25:00+00:00","11.3"
"2019-07-16T15:35:00+00:00","10.3"
"2019-07-16T15:45:00+00:00","10.4"
"2019-07-16T15:55:00+00:00","11.4"
"2019-07-16T16:05:00+00:00","11.7"
"2019-07-16T16:15:00+00:00","11"
"2019-07-16T16:25:00+00:00","10.2"
"2019-07-16T16:35:00+00:00","11.5"
"2019-07-16T16:45:00+00:00","11.2"
"2019-07-16T16:55:00+00:00","12.5"
"2019-07-16T17:05:00+00:00","13.1"
"2019-07-16T17:15:00+00:00","12.9"
"2019-07-16T17:25:00+00:00","12.6"
"2019-07-16T17:35:00+00:00","11.2"
"2019-07-16T17:45:00+00:00","10.6"
"2019-07-16T17:55:00+00:00","10.4"
"2019-07-16T18:05:00+00:00","10.5"
"2019-07-16T18:15:00+00:00","9.4"
"2019-07-16T18:25:00+00:00","9.4"
"2019-07-16T18:35:00+00:00","10.8000001907"
"2019-07-16T18:45:00+00:00","10.3"
"2019-07-16T18:55:00+00:00","9.2"
"2019-07-16T19:05:00+00:00","9.7"
"2019-07-16T19:15:00+00:00","8.8"
"2019-07-16T19:25:00+00:00","8.2"
"2019-07-16T19:35:00+00:00","8.1"
"2019-07-16T19:45:00+00:00","13.8"
"2019-07-16T19:55:00+00:00","11.4"
"2019-07-16T20:05:00+00:00","9.6"
"2019-07-16T20:15:00+00:00","8.9"
"2019-07-16T20:25:00+00:00","9.6"
"2019-07-16T20:35:00+00:00","7.6"
"2019-07-16T20:45:00+00:00","7.7"
"2019-07-16T20:55:00+00:00","7.30000019073"
"2019-07-16T21:05:00+00:00","7.7"
"2019-07-16T21:15:00+00:00","7.1"
"2019-07-16T21:25:00+00:00","6.3"
"2019-07-16T21:35:00+00:00","7.7"
"2019-07-16T21:45:00+00:00","6.59999990463"
"2019-07-16T21:55:00+00:00","7"
"2019-07-16T22:05:00+00:00","6.7"
"2019-07-16T22:15:00+00:00","6.6"
"2019-07-16T22:25:00+00:00","7.2"
"2019-07-16T22:35:00+00:00","7.1"
"2019-07-16T22:45:00+00:00","6.9"
"2019-07-16T22:55:00+00:00","7.6"
"2019-07-16T23:05:00+00:00","7.2"
"2019-07-16T23:15:00+00:00","6.9"
"2019-07-16T23:25:00+00:00","7.3"
"2019-07-16T23:35:00+00:00","8.3"
"2019-07-16T23:45:00+00:00","8"
"2019-07-16T23:55:00+00:00","8.1"
