"datetime","value"
"2019-07-05T00:05:00+00:00","28.8999996185"
"2019-07-05T00:15:00+00:00","29"
"2019-07-05T00:25:00+00:00","29.2999992371"
"2019-07-05T00:35:00+00:00","29.3999996185"
"2019-07-05T00:45:00+00:00","29.2000007629"
"2019-07-05T00:55:00+00:00","29.2999992371"
"2019-07-05T01:05:00+00:00","29.5"
"2019-07-05T01:15:00+00:00","29.6000003815"
"2019-07-05T01:25:00+00:00","29.8999996185"
"2019-07-05T01:35:00+00:00","30.2999992371"
"2019-07-05T01:45:00+00:00","30.2999992371"
"2019-07-05T01:55:00+00:00","29.7999992371"
"2019-07-05T02:05:00+00:00","29.7000007629"
"2019-07-05T02:15:00+00:00","29.7999992371"
"2019-07-05T02:25:00+00:00","30.1000003815"
"2019-07-05T02:35:00+00:00","30"
"2019-07-05T02:45:00+00:00","30.1000003815"
"2019-07-05T02:55:00+00:00","30.3999996185"
"2019-07-05T03:05:00+00:00","30.7000007629"
"2019-07-05T03:15:00+00:00","30.7999992371"
"2019-07-05T03:25:00+00:00","31.2000007629"
"2019-07-05T03:35:00+00:00","31.5"
"2019-07-05T03:45:00+00:00","31.8999996185"
"2019-07-05T03:55:00+00:00","31.8999996185"
"2019-07-05T04:05:00+00:00","32.0999984741"
"2019-07-05T04:15:00+00:00","31.7999992371"
"2019-07-05T04:25:00+00:00","32.5"
"2019-07-05T04:35:00+00:00","32.7000007629"
"2019-07-05T04:45:00+00:00","33.0999984741"
"2019-07-05T04:55:00+00:00","32.7000007629"
"2019-07-05T05:05:00+00:00","32.9000015259"
"2019-07-05T05:15:00+00:00","33.5"
"2019-07-05T05:25:00+00:00","33.5999984741"
"2019-07-05T05:35:00+00:00","33.4000015259"
"2019-07-05T05:45:00+00:00","33.9000015259"
"2019-07-05T05:55:00+00:00","33.9000015259"
"2019-07-05T06:05:00+00:00","34"
"2019-07-05T06:15:00+00:00","33.9000015259"
"2019-07-05T06:25:00+00:00","34.2999992371"
"2019-07-05T06:35:00+00:00","34.2999992371"
"2019-07-05T06:45:00+00:00","34.4000015259"
"2019-07-05T06:55:00+00:00","34.2000007629"
"2019-07-05T07:05:00+00:00","34.5"
"2019-07-05T07:15:00+00:00","34.4000015259"
"2019-07-05T07:25:00+00:00","34.6"
"2019-07-05T07:35:00+00:00","35"
"2019-07-05T07:45:00+00:00","34.7"
"2019-07-05T07:55:00+00:00","34.7999992371"
"2019-07-05T08:05:00+00:00","35"
"2019-07-05T08:15:00+00:00","35"
"2019-07-05T08:25:00+00:00","35.2"
"2019-07-05T08:35:00+00:00","35.1"
"2019-07-05T08:45:00+00:00","35"
"2019-07-05T08:55:00+00:00","35.2"
"2019-07-05T09:05:00+00:00","35"
"2019-07-05T09:15:00+00:00","35"
"2019-07-05T09:25:00+00:00","35.4"
"2019-07-05T09:35:00+00:00","35.4"
"2019-07-05T09:45:00+00:00","35.3"
"2019-07-05T09:55:00+00:00","35.4000015259"
"2019-07-05T10:05:00+00:00","35.3"
"2019-07-05T10:15:00+00:00","35.2"
"2019-07-05T10:25:00+00:00","35.1"
"2019-07-05T10:35:00+00:00","35"
"2019-07-05T10:45:00+00:00","35.1"
"2019-07-05T10:55:00+00:00","34.5"
"2019-07-05T11:05:00+00:00","34.1"
"2019-07-05T11:15:00+00:00","34.4"
"2019-07-05T11:25:00+00:00","34.6"
"2019-07-05T11:35:00+00:00","34.7"
"2019-07-05T11:45:00+00:00","34.8"
"2019-07-05T11:55:00+00:00","34.0999984741"
"2019-07-05T12:05:00+00:00","33.9"
"2019-07-05T12:15:00+00:00","34.3"
"2019-07-05T12:25:00+00:00","34.4"
"2019-07-05T12:35:00+00:00","34.3"
"2019-07-05T12:45:00+00:00","33.9"
"2019-07-05T12:55:00+00:00","33.7"
"2019-07-05T13:05:00+00:00","33.3"
"2019-07-05T13:15:00+00:00","32.9"
"2019-07-05T13:25:00+00:00","32.4"
"2019-07-05T13:35:00+00:00","32.1"
"2019-07-05T13:45:00+00:00","32"
"2019-07-05T13:55:00+00:00","31.6"
"2019-07-05T14:05:00+00:00","31.2"
"2019-07-05T14:15:00+00:00","31"
"2019-07-05T14:25:00+00:00","31.5"
"2019-07-05T14:35:00+00:00","32.3"
"2019-07-05T14:45:00+00:00","30.8"
"2019-07-05T14:55:00+00:00","29.6"
"2019-07-05T15:05:00+00:00","30.1"
"2019-07-05T15:15:00+00:00","30.6"
"2019-07-05T15:25:00+00:00","30.2"
"2019-07-05T15:35:00+00:00","30.3"
"2019-07-05T15:45:00+00:00","30.4"
"2019-07-05T15:55:00+00:00","30.3"
"2019-07-05T16:05:00+00:00","30.5"
"2019-07-05T16:15:00+00:00","30.4"
"2019-07-05T16:25:00+00:00","30.7"
"2019-07-05T16:35:00+00:00","30.3"
"2019-07-05T16:45:00+00:00","30.4"
"2019-07-05T16:55:00+00:00","30.3999996185"
"2019-07-05T17:05:00+00:00","30.4"
"2019-07-05T17:15:00+00:00","30.3"
"2019-07-05T17:25:00+00:00","30.1"
"2019-07-05T17:35:00+00:00","30.2000007629"
"2019-07-05T17:45:00+00:00","30.3"
"2019-07-05T17:55:00+00:00","30.2000007629"
"2019-07-05T18:05:00+00:00","30.2"
"2019-07-05T18:15:00+00:00","30.3"
"2019-07-05T18:25:00+00:00","30.4"
"2019-07-05T18:35:00+00:00","30.3"
"2019-07-05T18:45:00+00:00","30.3"
"2019-07-05T18:55:00+00:00","30.2999992371"
"2019-07-05T19:05:00+00:00","30.3"
"2019-07-05T19:15:00+00:00","30.2"
"2019-07-05T19:25:00+00:00","30.2"
"2019-07-05T19:35:00+00:00","30.1"
"2019-07-05T19:45:00+00:00","30"
"2019-07-05T19:55:00+00:00","26.6"
"2019-07-05T20:05:00+00:00","26.9"
"2019-07-05T20:15:00+00:00","26.9"
"2019-07-05T20:25:00+00:00","25.6"
"2019-07-05T20:35:00+00:00","25.8"
"2019-07-05T20:45:00+00:00","26.1000003815"
"2019-07-05T20:55:00+00:00","25.8999996185"
"2019-07-05T21:05:00+00:00","25.9"
"2019-07-05T21:15:00+00:00","26"
"2019-07-05T21:25:00+00:00","26"
"2019-07-05T21:35:00+00:00","26.1"
"2019-07-05T21:45:00+00:00","25.9"
"2019-07-05T21:55:00+00:00","25.9"
"2019-07-05T22:05:00+00:00","26"
"2019-07-05T22:15:00+00:00","26"
"2019-07-05T22:25:00+00:00","26"
"2019-07-05T22:35:00+00:00","26.1"
"2019-07-05T22:45:00+00:00","26.1"
"2019-07-05T22:55:00+00:00","26.1"
"2019-07-05T23:05:00+00:00","26.1"
"2019-07-05T23:15:00+00:00","26.2"
"2019-07-05T23:25:00+00:00","26.2"
"2019-07-05T23:35:00+00:00","26.2"
"2019-07-05T23:45:00+00:00","26.2999992371"
"2019-07-05T23:55:00+00:00","26.2000007629"
