"datetime","value"
"2019-07-15T00:05:00+00:00","143.9"
"2019-07-15T00:15:00+00:00","148.7"
"2019-07-15T00:25:00+00:00","160.600006104"
"2019-07-15T00:35:00+00:00","158.3"
"2019-07-15T00:45:00+00:00","126"
"2019-07-15T00:55:00+00:00","130.8"
"2019-07-15T01:05:00+00:00","131.8"
"2019-07-15T01:15:00+00:00","118.900001526"
"2019-07-15T01:25:00+00:00","125.099998474"
"2019-07-15T01:35:00+00:00","139.1"
"2019-07-15T01:45:00+00:00","162.800003052"
"2019-07-15T01:55:00+00:00","153.4"
"2019-07-15T02:05:00+00:00","134.7"
"2019-07-15T02:15:00+00:00","140.9"
"2019-07-15T02:25:00+00:00","118.3"
"2019-07-15T02:35:00+00:00","133.800003052"
"2019-07-15T02:45:00+00:00","154.3"
"2019-07-15T02:55:00+00:00","133.9"
"2019-07-15T03:05:00+00:00","158.199996948"
"2019-07-15T03:15:00+00:00","107.9"
"2019-07-15T03:25:00+00:00","114.5"
"2019-07-15T03:35:00+00:00","149.9"
"2019-07-15T03:45:00+00:00","168.6"
"2019-07-15T03:55:00+00:00","158.2"
"2019-07-15T04:05:00+00:00","166.4"
"2019-07-15T04:15:00+00:00","187.600006104"
"2019-07-15T04:25:00+00:00","179.6"
"2019-07-15T04:35:00+00:00","199.3"
"2019-07-15T04:45:00+00:00","173.3"
"2019-07-15T04:55:00+00:00","198"
"2019-07-15T05:05:00+00:00","149.2"
"2019-07-15T05:15:00+00:00","176.100006104"
"2019-07-15T05:25:00+00:00","176.9"
"2019-07-15T05:35:00+00:00","211.2"
"2019-07-15T05:45:00+00:00","212.300003052"
"2019-07-15T05:55:00+00:00","211.5"
"2019-07-15T06:05:00+00:00","194.9"
"2019-07-15T06:15:00+00:00","223.5"
"2019-07-15T06:25:00+00:00","167.5"
"2019-07-15T06:35:00+00:00","191"
"2019-07-15T06:45:00+00:00","224.699996948"
"2019-07-15T06:55:00+00:00","185.199996948"
"2019-07-15T07:05:00+00:00","196"
"2019-07-15T07:15:00+00:00","201.600006104"
"2019-07-15T07:25:00+00:00","245.899993896"
"2019-07-15T07:35:00+00:00","277.100006104"
"2019-07-15T07:45:00+00:00","214.5"
"2019-07-15T07:55:00+00:00","195.2"
"2019-07-15T08:05:00+00:00","196"
"2019-07-15T08:15:00+00:00","171.8"
"2019-07-15T08:25:00+00:00","272.600006104"
"2019-07-15T08:35:00+00:00","259.9"
"2019-07-15T08:45:00+00:00","276.100006104"
"2019-07-15T08:55:00+00:00","301.9"
"2019-07-15T09:05:00+00:00","290.399993896"
"2019-07-15T09:15:00+00:00","311.3"
"2019-07-15T09:25:00+00:00","272"
"2019-07-15T09:35:00+00:00","292.3"
"2019-07-15T09:45:00+00:00","312.1"
"2019-07-15T09:55:00+00:00","296.8"
"2019-07-15T10:05:00+00:00","280.7"
"2019-07-15T10:15:00+00:00","222.1"
"2019-07-15T10:25:00+00:00","289.200012207"
"2019-07-15T10:35:00+00:00","209.2"
"2019-07-15T10:45:00+00:00","228.9"
"2019-07-15T10:55:00+00:00","241.199996948"
"2019-07-15T11:05:00+00:00","249.100006104"
"2019-07-15T11:15:00+00:00","272.4"
"2019-07-15T11:25:00+00:00","261.7"
"2019-07-15T11:35:00+00:00","283.299987793"
"2019-07-15T11:45:00+00:00","275.5"
"2019-07-15T11:55:00+00:00","298.5"
"2019-07-15T12:05:00+00:00","300.399993896"
"2019-07-15T12:15:00+00:00","313.8"
"2019-07-15T12:25:00+00:00","15.5"
"2019-07-15T12:35:00+00:00","27.2"
"2019-07-15T12:45:00+00:00","7.40000009537"
"2019-07-15T12:55:00+00:00","319.4"
"2019-07-15T13:05:00+00:00","42.5"
"2019-07-15T13:15:00+00:00","58.4"
"2019-07-15T13:25:00+00:00","37.7999992371"
"2019-07-15T13:35:00+00:00","50.5"
"2019-07-15T13:45:00+00:00","45.6"
"2019-07-15T13:55:00+00:00","79"
"2019-07-15T14:05:00+00:00","26.1"
"2019-07-15T14:15:00+00:00","68.3000030518"
"2019-07-15T14:25:00+00:00","92.3000030518"
"2019-07-15T14:35:00+00:00","30.1000003815"
"2019-07-15T14:45:00+00:00","93.9"
"2019-07-15T14:55:00+00:00","165.8"
"2019-07-15T15:05:00+00:00","211.2"
"2019-07-15T15:15:00+00:00","33"
"2019-07-15T15:25:00+00:00","192"
"2019-07-15T15:35:00+00:00","90.3000030518"
"2019-07-15T15:45:00+00:00","92.8000030518"
"2019-07-15T15:55:00+00:00","67.4"
"2019-07-15T16:05:00+00:00","17.9"
"2019-07-15T16:15:00+00:00","306.2"
"2019-07-15T16:25:00+00:00","33.3"
"2019-07-15T16:35:00+00:00","320.8"
"2019-07-15T16:45:00+00:00","79"
"2019-07-15T16:55:00+00:00","290.8"
"2019-07-15T17:05:00+00:00","277.5"
"2019-07-15T17:15:00+00:00","324.3"
