"datetime","value"
"2019-07-06T00:05:00+00:00","0.9"
"2019-07-06T00:15:00+00:00","1.3"
"2019-07-06T00:25:00+00:00","0.6"
"2019-07-06T00:35:00+00:00","0.7"
"2019-07-06T00:45:00+00:00","2.3"
"2019-07-06T00:55:00+00:00","2"
"2019-07-06T01:05:00+00:00","0.7"
"2019-07-06T01:15:00+00:00","2.3"
"2019-07-06T01:25:00+00:00","2.9"
"2019-07-06T01:35:00+00:00","3.2"
"2019-07-06T01:45:00+00:00","2.2"
"2019-07-06T01:55:00+00:00","2.2"
"2019-07-06T02:05:00+00:00","2.1"
"2019-07-06T02:15:00+00:00","2.1"
"2019-07-06T02:25:00+00:00","3"
"2019-07-06T02:35:00+00:00","2.8"
"2019-07-06T02:45:00+00:00","2.9"
"2019-07-06T02:55:00+00:00","2.3"
"2019-07-06T03:05:00+00:00","2"
"2019-07-06T03:15:00+00:00","4"
"2019-07-06T03:25:00+00:00","3.4"
"2019-07-06T03:35:00+00:00","5.7"
"2019-07-06T03:45:00+00:00","4.6"
"2019-07-06T03:55:00+00:00","4.5"
"2019-07-06T04:05:00+00:00","4.1"
"2019-07-06T04:15:00+00:00","4.3"
"2019-07-06T04:25:00+00:00","5.5"
"2019-07-06T04:35:00+00:00","4.6"
"2019-07-06T04:45:00+00:00","5.9"
"2019-07-06T04:55:00+00:00","2.2"
"2019-07-06T05:05:00+00:00","3.3"
"2019-07-06T05:15:00+00:00","3.9"
"2019-07-06T05:25:00+00:00","4.1"
"2019-07-06T05:35:00+00:00","4.8"
"2019-07-06T05:45:00+00:00","2.7"
"2019-07-06T05:55:00+00:00","5.6"
"2019-07-06T06:05:00+00:00","4.1"
"2019-07-06T06:15:00+00:00","5.9"
"2019-07-06T06:25:00+00:00","4.3"
"2019-07-06T06:35:00+00:00","2.9"
"2019-07-06T06:45:00+00:00","4.3"
"2019-07-06T06:55:00+00:00","3.1"
"2019-07-06T07:05:00+00:00","5.1"
"2019-07-06T07:15:00+00:00","2.7"
"2019-07-06T07:25:00+00:00","2.9"
"2019-07-06T07:35:00+00:00","3.3"
"2019-07-06T07:45:00+00:00","2.2"
"2019-07-06T07:55:00+00:00","2.09999990463"
"2019-07-06T08:05:00+00:00","2.5"
"2019-07-06T08:15:00+00:00","1.6"
"2019-07-06T08:25:00+00:00","1.4"
"2019-07-06T08:35:00+00:00","1.3"
"2019-07-06T08:45:00+00:00","3.4"
"2019-07-06T08:55:00+00:00","2.3"
"2019-07-06T09:05:00+00:00","4.9"
"2019-07-06T09:15:00+00:00","3.2"
"2019-07-06T09:25:00+00:00","3.9"
"2019-07-06T09:35:00+00:00","2.8"
"2019-07-06T09:45:00+00:00","3.4"
"2019-07-06T09:55:00+00:00","3.29999995232"
"2019-07-06T10:05:00+00:00","1.9"
"2019-07-06T10:15:00+00:00","2.5"
"2019-07-06T10:25:00+00:00","2.2"
"2019-07-06T10:35:00+00:00","2.2"
"2019-07-06T10:45:00+00:00","0.8"
"2019-07-06T10:55:00+00:00","4.4"
"2019-07-06T11:05:00+00:00","1.6"
"2019-07-06T11:15:00+00:00","1.9"
"2019-07-06T11:25:00+00:00","2.1"
"2019-07-06T11:35:00+00:00","1.8"
"2019-07-06T11:45:00+00:00","2"
"2019-07-06T11:55:00+00:00","1.79999995232"
"2019-07-06T12:05:00+00:00","1.5"
"2019-07-06T12:15:00+00:00","1.5"
"2019-07-06T12:25:00+00:00","0.8"
"2019-07-06T12:35:00+00:00","1.3"
"2019-07-06T12:45:00+00:00","1.1"
"2019-07-06T12:55:00+00:00","0.9"
"2019-07-06T13:05:00+00:00","2.5"
"2019-07-06T13:15:00+00:00","1.5"
"2019-07-06T13:25:00+00:00","1.3"
"2019-07-06T13:35:00+00:00","1.8"
"2019-07-06T13:45:00+00:00","1.5"
"2019-07-06T13:55:00+00:00","1.70000004768"
"2019-07-06T14:05:00+00:00","2.2"
"2019-07-06T14:15:00+00:00","2.4"
"2019-07-06T14:25:00+00:00","1"
"2019-07-06T14:35:00+00:00","1.5"
"2019-07-06T14:45:00+00:00","2"
"2019-07-06T14:55:00+00:00","1.4"
"2019-07-06T15:05:00+00:00","1.9"
"2019-07-06T15:15:00+00:00","2"
"2019-07-06T15:25:00+00:00","1.4"
"2019-07-06T15:35:00+00:00","1.3"
"2019-07-06T15:45:00+00:00","1.4"
"2019-07-06T15:55:00+00:00","2.1"
"2019-07-06T16:05:00+00:00","0.9"
"2019-07-06T16:15:00+00:00","1.5"
"2019-07-06T16:25:00+00:00","1"
"2019-07-06T16:35:00+00:00","1.1"
"2019-07-06T16:45:00+00:00","0.7"
"2019-07-06T16:55:00+00:00","0.5"
"2019-07-06T17:05:00+00:00","0.9"
"2019-07-06T17:15:00+00:00","0.7"
"2019-07-06T17:25:00+00:00","0.6"
"2019-07-06T17:35:00+00:00","0.8"
"2019-07-06T17:45:00+00:00","1.3"
"2019-07-06T17:55:00+00:00","2.4"
"2019-07-06T18:05:00+00:00","2.1"
"2019-07-06T18:15:00+00:00","1"
"2019-07-06T18:25:00+00:00","0.5"
"2019-07-06T18:35:00+00:00","1.2"
"2019-07-06T18:45:00+00:00","1"
"2019-07-06T18:55:00+00:00","0.8"
"2019-07-06T19:05:00+00:00","1.1"
"2019-07-06T19:15:00+00:00","0.8"
"2019-07-06T19:25:00+00:00","0.9"
"2019-07-06T19:35:00+00:00","0.4"
"2019-07-06T19:45:00+00:00","0.7"
"2019-07-06T19:55:00+00:00","1.3"
"2019-07-06T20:05:00+00:00","0.7"
"2019-07-06T20:15:00+00:00","0.9"
"2019-07-06T20:25:00+00:00","0.6"
"2019-07-06T20:35:00+00:00","0.8"
"2019-07-06T20:45:00+00:00","0.7"
"2019-07-06T20:55:00+00:00","0.5"
"2019-07-06T21:05:00+00:00","0.4"
"2019-07-06T21:15:00+00:00","0.40000000596"
"2019-07-06T21:25:00+00:00","2.20000004768"
"2019-07-06T21:35:00+00:00","1.2"
"2019-07-06T21:45:00+00:00","1.2"
"2019-07-06T21:55:00+00:00","0.899999976158"
"2019-07-06T22:05:00+00:00","1.7"
"2019-07-06T22:15:00+00:00","2.5"
"2019-07-06T22:25:00+00:00","1.6"
"2019-07-06T22:35:00+00:00","2.2"
"2019-07-06T22:45:00+00:00","2.70000004768"
"2019-07-06T22:55:00+00:00","2"
"2019-07-06T23:05:00+00:00","2.8"
"2019-07-06T23:15:00+00:00","1.7"
"2019-07-06T23:25:00+00:00","1.7"
"2019-07-06T23:35:00+00:00","2.7"
"2019-07-06T23:45:00+00:00","2.5"
"2019-07-06T23:55:00+00:00","2.70000004768"
